World Food Price.Date.Variation.Date Hierarchy.Year,World Food Price.Food Group,Sum(World Food Price.Price)
2003,FAO CEREAL PRICE INDEX,712.5997305756385
2003,FAO DAIRY FOOD PRICE INDEX,653.808933167457
2003,FAO MEAT PRICE INDEX,700.1743619108391
2003,FAO SUGAR PRICE INDEX,526.2558913935242
2003,FAO VEGETABLE OIL PRICE INDEX,751.5717725362343
2003,FOOD PRICE INDEX,693.512536654553
2004,FAO CEREAL PRICE INDEX,768.0189678231834
2004,FAO DAIRY FOOD PRICE INDEX,838.1865707107798
2004,FAO MEAT PRICE INDEX,810.7797897599514
2004,FAO SUGAR PRICE INDEX,532.1520067351864
2004,FAO VEGETABLE OIL PRICE INDEX,835.339563079222
2004,FOOD PRICE INDEX,786.64296377329
2005,FAO CEREAL PRICE INDEX,729.1991304004924
2005,FAO DAIRY FOOD PRICE INDEX,926.5207515716613
2005,FAO MEAT PRICE INDEX,861.237587441069
2005,FAO SUGAR PRICE INDEX,734.3490127672651
2005,FAO VEGETABLE OIL PRICE INDEX,772.7847534369774
2005,FOOD PRICE INDEX,808.5255448992991
2006,FAO CEREAL PRICE INDEX,854.7405235372387
2006,FAO DAIRY FOOD PRICE INDEX,876.6403820509265
2006,FAO MEAT PRICE INDEX,846.2793227374641
2006,FAO SUGAR PRICE INDEX,1096.7177274320204
2006,FAO VEGETABLE OIL PRICE INDEX,846.5414060665333
2006,FOOD PRICE INDEX,870.757847087342
2007,FAO CEREAL PRICE INDEX,1210.8973958198249
2007,FAO DAIRY FOOD PRICE INDEX,1468.7935516610116
2007,FAO MEAT PRICE INDEX,922.3958048533091
2007,FAO SUGAR PRICE INDEX,748.429715654858
2007,FAO VEGETABLE OIL PRICE INDEX,1287.777672464977
2007,FOOD PRICE INDEX,1131.042587282041
2008,FAO CEREAL PRICE INDEX,1651.7018138667838
2008,FAO DAIRY FOOD PRICE INDEX,1588.0394159079283
2008,FAO MEAT PRICE INDEX,1081.9488420491948
2008,FAO SUGAR PRICE INDEX,950.3444286651021
2008,FAO VEGETABLE OIL PRICE INDEX,1692.8742832147714
2008,FOOD PRICE INDEX,1410.1277047509316
2009,FAO CEREAL PRICE INDEX,1166.2791907849548
2009,FAO DAIRY FOOD PRICE INDEX,1096.868763786756
2009,FAO MEAT PRICE INDEX,974.6753912609595
2009,FAO SUGAR PRICE INDEX,1346.705798621963
2009,FAO VEGETABLE OIL PRICE INDEX,1133.1283135533545
2009,FOOD PRICE INDEX,1099.9358644240808
2010,FAO CEREAL PRICE INDEX,1289.9917484453338
2010,FAO DAIRY FOOD PRICE INDEX,1342.787605999047
2010,FAO MEAT PRICE INDEX,1092.032677902527
2010,FAO SUGAR PRICE INDEX,1580.6887255852503
2010,FAO VEGETABLE OIL PRICE INDEX,1463.4022023748796
2010,FOOD PRICE INDEX,1280.9260373298903
2011,FAO CEREAL PRICE INDEX,1705.8889009312209
2011,FAO DAIRY FOOD PRICE INDEX,1558.6884228734189
2011,FAO MEAT PRICE INDEX,1264.17634909241
2011,FAO SUGAR PRICE INDEX,1930.8068858725253
2011,FAO VEGETABLE OIL PRICE INDEX,1877.7586692179366
2011,FOOD PRICE INDEX,1582.6129942041416
2012,FAO CEREAL PRICE INDEX,1648.7802343537176
2012,FAO DAIRY FOOD PRICE INDEX,1339.8807229616025
2012,FAO MEAT PRICE INDEX,1259.602873547556
2012,FAO SUGAR PRICE INDEX,1599.823610947482
2012,FAO VEGETABLE OIL PRICE INDEX,1659.67938547549
2012,FOOD PRICE INDEX,1474.0899031429583
2013,FAO CEREAL PRICE INDEX,1549.3304614485276
2013,FAO DAIRY FOOD PRICE INDEX,1690.8829560237364
2013,FAO MEAT PRICE INDEX,1273.917214802535
2013,FAO SUGAR PRICE INDEX,1313.440154298722
2013,FAO VEGETABLE OIL PRICE INDEX,1433.998476042866
2013,FOOD PRICE INDEX,1441.5020312284114
2014,FAO CEREAL PRICE INDEX,1389.8194896378973
2014,FAO DAIRY FOOD PRICE INDEX,1562.478293440139
2014,FAO MEAT PRICE INDEX,1346.961196754899
2014,FAO SUGAR PRICE INDEX,1262.3446715656473
2014,FAO VEGETABLE OIL PRICE INDEX,1327.3951379631287
2014,FOOD PRICE INDEX,1380.343986453576
2015,FAO CEREAL PRICE INDEX,1150.4810416892751
2015,FAO DAIRY FOOD PRICE INDEX,1045.7417854255752
2015,FAO MEAT PRICE INDEX,1160.7849683561733
2015,FAO SUGAR PRICE INDEX,998.1742216694677
2015,FAO VEGETABLE OIL PRICE INDEX,1079.2931282536122
2015,FOOD PRICE INDEX,1116.562952550542
2016,FAO CEREAL PRICE INDEX,1059.6994686728276
2016,FAO DAIRY FOOD PRICE INDEX,991.7799211342852
2016,FAO MEAT PRICE INDEX,1092.2538348889284
2016,FAO SUGAR PRICE INDEX,1339.4811067648852
2016,FAO VEGETABLE OIL PRICE INDEX,1193.3117337832591
2016,FOOD PRICE INDEX,1103.0930609958825
2017,FAO CEREAL PRICE INDEX,1091.8111595226098
2017,FAO DAIRY FOOD PRICE INDEX,1296.135266280479
2017,FAO MEAT PRICE INDEX,1172.9047439485753
2017,FAO SUGAR PRICE INDEX,1189.3464500914952
2017,FAO VEGETABLE OIL PRICE INDEX,1222.9137101132394
2017,FOOD PRICE INDEX,1176.2743124050019
2018,FAO CEREAL PRICE INDEX,1209.8679632381222
2018,FAO DAIRY FOOD PRICE INDEX,1287.260250398562
2018,FAO MEAT PRICE INDEX,1138.7210550508723
2018,FAO SUGAR PRICE INDEX,928.8246378688252
2018,FAO VEGETABLE OIL PRICE INDEX,1053.1329242717175
2018,FOOD PRICE INDEX,1151.0002534487573
2019,FAO CEREAL PRICE INDEX,1159.246364544088
2019,FAO DAIRY FOOD PRICE INDEX,1233.7893843303914
2019,FAO MEAT PRICE INDEX,1199.9228815862166
2019,FAO SUGAR PRICE INDEX,943.3801797953324
2019,FAO VEGETABLE OIL PRICE INDEX,998.8713139745154
2019,FOOD PRICE INDEX,1141.2474670623035
2020,FAO CEREAL PRICE INDEX,1237.4007470412996
2020,FAO DAIRY FOOD PRICE INDEX,1221.9862139921834
2020,FAO MEAT PRICE INDEX,1146.4880527894943
2020,FAO SUGAR PRICE INDEX,954.344611656637
2020,FAO VEGETABLE OIL PRICE INDEX,1193.3224281572702
2020,FOOD PRICE INDEX,1177.55752052617
2021,FAO CEREAL PRICE INDEX,1573.8406169242119
2021,FAO DAIRY FOOD PRICE INDEX,1429.3610242893067
2021,FAO MEAT PRICE INDEX,1292.6449234280478
2021,FAO SUGAR PRICE INDEX,1312.015715162241
2021,FAO VEGETABLE OIL PRICE INDEX,1978.2135907779355
2021,FOOD PRICE INDEX,1508.737347296663
2022,FAO CEREAL PRICE INDEX,456.0536813878698
2022,FAO DAIRY FOOD PRICE INDEX,419.3484097857
2022,FAO MEAT PRICE INDEX,346.51897971223946
2022,FAO SUGAR PRICE INDEX,341.11261370374746
2022,FAO VEGETABLE OIL PRICE INDEX,636.2468241918848
2022,FOOD PRICE INDEX,436.3050461168982
