measures-as-group,financials.Country,financials.Segment,Sum(financials. Sales),
" Sales",Canada,Channel Partners,491164.14,"491164.14,24396490.744999997,24887654.884999998"
" Sales",Canada,Enterprise,3967491.25,"3967491.25,19918785.519999996,23886276.769999996"
" Sales",Canada,Government,10741236.519999998,"10741236.519999998,0,10741236.519999998"
" Sales",Canada,Midmarket,510213.97500000003,"510213.97500000003,23886276.769999996,24396490.744999997"
" Sales",Canada,Small Business,9177549,"9177549,10741236.519999998,19918785.519999996"
" Sales",France,Channel Partners,372090.36,"372090.36,23982081.919999998,24354172.279999997"
" Sales",France,Enterprise,3890890.625,"3890890.625,19497389.22,23388279.845"
" Sales",France,Government,12127782.719999997,"12127782.719999997,0,12127782.719999997"
" Sales",France,Midmarket,593802.075,"593802.075,23388279.845,23982081.919999998"
" Sales",France,Small Business,7369606.5,"7369606.5,12127782.719999997,19497389.22"
" Sales",Germany,Channel Partners,336425.87999999995,"336425.87999999995,22867570.19,23203996.07"
" Sales",Germany,Enterprise,4086826.25,"4086826.25,18780743.94,22867570.19"
" Sales",Germany,Government,11452895.940000001,"11452895.940000001,0,11452895.940000001"
" Sales",Germany,Midmarket,301344.75000000006,"301344.75000000006,23203996.07,23505340.82"
" Sales",Germany,Small Business,7327848,"7327848,11452895.940000001,18780743.94"
" Sales",Mexico,Channel Partners,234379.07999999996,"234379.07999999996,20714973.029999997,20949352.109999996"
" Sales",Mexico,Enterprise,3315881.25,"3315881.25,16887955.38,20203836.63"
" Sales",Mexico,Government,9791599.379999999,"9791599.379999999,0,9791599.379999999"
" Sales",Mexico,Midmarket,511136.4,"511136.4,20203836.63,20714973.029999997"
" Sales",Mexico,Small Business,7096356,"7096356,9791599.379999999,16887955.38"
" Sales",United States of America,Channel Partners,366534.17999999993,"366534.17999999993,24663295.985,25029830.165"
" Sales",United States of America,Enterprise,4350605,"4350605,19847305.11,24197910.11"
" Sales",United States of America,Government,8390746.11,"8390746.11,11456559,19847305.11"
" Sales",United States of America,Midmarket,465385.875,"465385.875,24197910.11,24663295.985"
" Sales",United States of America,Small Business,11456559,"11456559,0,11456559"
COGS,Canada,Channel Partners,132186,"132186,21226240,21358426"
COGS,Canada,Enterprise,4089000,"4089000,16759515,20848515"
COGS,Canada,Government,8482765,"8482765,0,8482765"
COGS,Canada,Midmarket,377725,"377725,20848515,21226240"
COGS,Canada,Small Business,8276750,"8276750,8482765,16759515"
COGS,France,Channel Partners,100509,"100509,20472642.5,20573151.5"
COGS,France,Enterprise,3986640,"3986640,16056742.5,20043382.5"
COGS,France,Government,9417867.5,"9417867.5,0,9417867.5"
COGS,France,Midmarket,429260,"429260,20043382.5,20472642.5"
COGS,France,Small Business,6638875,"6638875,9417867.5,16056742.5"
COGS,Germany,Channel Partners,89067,"89067,19735885,19824952"
COGS,Germany,Enterprise,4188300,"4188300,15331595,19519895"
COGS,Germany,Government,8775720,"8775720,0,8775720"
COGS,Germany,Midmarket,215990,"215990,19519895,19735885"
COGS,Germany,Small Business,6555875,"6555875,8775720,15331595"
COGS,Mexico,Channel Partners,63489,"63489,17978340,18041829"
COGS,Mexico,Enterprise,3436560,"3436560,14181190,17617750"
COGS,Mexico,Government,7752440,"7752440,0,7752440"
COGS,Mexico,Midmarket,360590,"360590,17617750,17978340"
COGS,Mexico,Small Business,6428750,"6428750,7752440,14181190"
COGS,United States of America,Channel Partners,98539.5,"98539.5,21935750,22034289.5"
