financials.Country,financials.COGS,financials.Discount Band,Sum(financials. Sales),Sum(financials.Profit)
United States of America,573500,High,1238760,91760
United States of America,873750,High,922680,48930
United States of America,729820,High,884205,154385
United States of America,748250,High,808110,59860
United States of America,601380,High,728595,127215
United States of America,643500,High,656370,12870
United States of America,635250,High,655578,20328
United States of America,615000,High,634680,19680
United States of America,256360,High,607376,94656
United States of America,521820,High,597082.5,75262.5
United States of America,252500,High,521160,16160
United States of America,413460,High,387618.75,-25841.25
United States of America,306020,High,354277,48257
United States of America,341280,High,305730,-35550
United States of America,255450,High,299171.25,43721.25
United States of America,286440,High,262570,-23870
United States of America,292560,High,259037.5,-33522.5
United States of America,216480,High,202950,-13530
United States of America,191520,High,179550,-11970
United States of America,70200,High,83160,12960
United States of America,25670,High,66998.7,15658.699999999997
United States of America,69480,High,65137.5,-4342.5
United States of America,8742,High,60144.96,42660.96
United States of America,26410,High,45953.4,19543.4
United States of America,31995,High,42713.325,10718.324999999999
United States of America,14980,High,36071.84,6111.8399999999965
United States of America,25480,High,33633.6,8153.5999999999985
United States of America,17430,High,29979.6,12549.599999999999
United States of America,17670,High,22794.3,5124.299999999999
United States of America,6045,High,20794.8,14749.8
United States of America,2742,High,18645.6,13161.599999999999
United States of America,5418,High,18421.2,13003.2
United States of America,11640,High,14666.4,3026.3999999999996
United States of America,7900,High,10665,2765
United States of America,6060,High,10423.2,4363.200000000001
United States of America,7895,High,9837.17,1942.17
United States of America,2670,High,9078,3738
United States of America,6770,High,8936.4,2166.3999999999996
United States of America,7192.5,High,8760.465,1567.9649999999992
United States of America,1158,High,8337.6,6021.6
United States of America,6490,High,7904.82,1414.8199999999997
United States of America,1900,High,2367.4,467.4000000000001
United States of America,897000,Low,1159200,262200
United States of America,726250,Low,862785,136535
United States of America,729500,Low,840384,110884
United States of America,711000,Low,827604,116604
United States of America,624500,Low,741906,117406
United States of America,575250,Low,683397,108147
United States of America,71240,Low,184128,41648
United States of America,87240,Low,179932.5,5452.5
United States of America,79560,Low,164092.5,4972.5
United States of America,90740,Low,117264,26524
United States of America,69160,Low,91238,22078
United States of America,15660,Low,61387.2,30067.199999999997
United States of America,39600,Low,40837.5,1237.5
United States of America,22462.5,Low,31133.024999999998,8670.524999999998
United States of America,19250,Low,28297.5,9047.5
United States of America,3426,Low,26859.84,20007.84
United States of America,12360,Low,24225.6,11865.599999999999
United States of America,5967,Low,23629.32,17662.32
United States of America,5841,Low,22663.08,16822.08
United States of America,15140,Low,22482.9,7342.9000000000015
United States of America,5574,Low,22073.04,16499.04
United States of America,10560,Low,20275.2,9715.2
United States of America,6710,Low,19324.8,5904.799999999999
United States of America,12645,Low,17525.97,4880.969999999999
United States of America,4395,Low,16876.8,12481.8
United States of America,4108.5,Low,15940.98,11832.48
United States of America,7360,Low,14131.2,6771.200000000001
United States of America,10065,Low,13809.18,3744.1800000000003
United States of America,343000,Medium,765576,79576
United States of America,538460,Medium,659613.5,121153.5
United States of America,335640,Medium,636317.5,-34962.5
United States of America,457860,Medium,573205.5,115345.5
United States of America,247750,Medium,564870,69370
United States of America,466750,Medium,509691,42941
United States of America,189020,Medium,478366,100326
United States of America,435240,Medium,430706.25,-4533.75
United States of America,351390,Medium,430452.75,79062.75
United States of America,156520,Medium,400330,87290
United States of America,359040,Medium,355300,-3740
United States of America,330600,Medium,323712.5,-6887.5
United States of America,202000,Medium,223008,21008
United States of America,103320,Medium,204487.5,-2152.5
United States of America,26630,Medium,101194,47934
United States of America,28320,Medium,53808,25488
United States of America,36750,Medium,50163.75,13413.75
United States of America,12820,Medium,47177.6,21537.6
United States of America,29310,Medium,40887.45,11577.449999999997
United States of America,14535,Medium,37442.16,8372.160000000003
United States of America,11530,Medium,32514.6,9454.599999999999
United States of America,21980,Medium,30991.8,9011.8
United States of America,8169,Medium,30715.44,22546.44
United States of America,20300,Medium,28623,8323
United States of America,14210,Medium,26430.6,12220.599999999999
United States of America,12650,Medium,24035,11385
United States of America,5868,Medium,21359.52,15491.52
United States of America,11175,Medium,21009,9834
United States of America,9730,Medium,17708.6,7978.5999999999985
United States of America,11635,Medium,15474.55,3839.5499999999993
United States of America,4365,Medium,8031.599999999999,3666.5999999999995
United States of America,5550,Medium,7908.75,2358.75
United States of America,2850,Medium,7581,1881
United States of America,3390,Medium,4366.32,976.3199999999997
United States of America,2735,Medium,3560.9700000000003,825.9700000000003
United States of America,1315,Medium,1730.54,415.53999999999996
United States of America,338520,None,352625,14105
United States of America,6423,None,25692,19269
United States of America,5859,None,23436,17577
United States of America,6150,None,18450,6150
United States of America,5715,None,16002,4572
United States of America,2736,None,10944,8208
Canada,684320,High,1602888,234248
Canada,374000,High,771936,23936
Canada,582400,High,705600,123200
Canada,579150,High,670477.5,91327.5
Canada,547170,High,655551.75,108381.75
Canada,341500,High,364722,23222
Canada,189960,High,344302.5,-35617.5
Canada,354480,High,313862.5,-40617.5
Canada,303480,High,284512.5,-18967.5
Canada,239980,High,281053.5,41073.5
Canada,289920,High,265760,-24160
Canada,218250,High,233091,14841
Canada,222000,High,229104,7104
Canada,183820,High,222705,38885
Canada,229920,High,215550,-14370
Canada,182000,High,210700,28700
Canada,161980,High,191884,29904
Canada,199080,High,180416.25,-18663.75
Canada,67250,High,138804,4304
Canada,52000,High,60200,8200
Canada,23000,High,59340,13340
Canada,29350,High,52243,22893
Canada,17430,High,44969.4,10109.400000000001
Canada,12490,High,43465.2,18485.199999999997
Canada,12078,High,42997.68,30919.68
Canada,23940,High,42613.2,18673.199999999997
Canada,24280,High,41761.6,17481.6
Canada,15650,High,40846.5,9546.5
Canada,10561.5,High,38021.399999999994,27459.899999999998
Canada,26890,High,35494.8,8604.800000000003
Canada,13670,High,33682.88,6342.879999999997
Canada,25590,High,32627.25,7037.25
Canada,24700,High,31863,7163
Canada,8283,High,29156.16,20873.16
Canada,6666,High,22931.04,16265.04
Canada,6327,High,22271.04,15944.04
Canada,15600,High,20826,5226
Canada,5811,High,20687.16,14876.16
Canada,16140,High,20578.5,4438.5
Canada,8655,High,14713.5,6058.5
Canada,9040,High,11263.84,2223.84
Canada,3840,High,5126.4,1286.3999999999999
Canada,3615,High,4301.85,686.8500000000001
Canada,1940,High,2335.76,395.7600000000002
Canada,741520,Low,1956472,473432
Canada,479000,Low,1126608,168608
Canada,327480,Low,668605,13645
Canada,462280,Low,597408,135128
Canada,468500,Low,545334,76834
Canada,241080,Low,487182.5,5022.5
Canada,245310,Low,326922.75,81612.75
Canada,212880,Low,215097.5,2217.5
Canada,110760,Low,114221.25,3461.25
Canada,89100,Low,90956.25,1856.25
Canada,38505,Low,74699.70000000001,36194.700000000004
Canada,26460,Low,50803.2,24343.199999999997
Canada,20740,Low,39820.8,19080.800000000003
Canada,14255,Low,38317.44,9807.440000000002
Canada,23630,Low,34736.1,11106.099999999999
Canada,3885,Low,30458.4,22688.4
Canada,21255,Low,28566.72,7311.719999999999
Canada,19670,Low,28324.8,8654.8
Canada,4335,Low,17166.6,12831.599999999999
Canada,8310,Low,16121.4,7811.4
Canada,10460,Low,14497.56,4037.5599999999995
Canada,9150,Low,12681.9,3531.8999999999996
Canada,2724,Low,10569.12,7845.120000000001
Canada,6630,Low,9189.18,2559.1800000000003
