Orders.Sub-Category,Orders.Ship Mode,Orders.Segment,Sum(Orders.Profit),Sum(Orders.Quantity),Sum(Orders.Discount),Sum(Orders.Sales)
Copiers,First Class,Consumer,7386.9691,16,0,18279.882
Copiers,First Class,Corporate,2033.4532,14,0,5509.878
Copiers,First Class,Home Office,5377.956999999999,15,0,15579.87
Copiers,Same Day,Consumer,1154.9795,7,0,3399.94
Copiers,Same Day,Corporate,839.986,5,0,2399.96
Copiers,Same Day,Home Office,585.9893999999999,4,0,1759.968
Copiers,Second Class,Consumer,3433.9333,29,0,11139.77
Copiers,Second Class,Corporate,2999.946,13,0,6759.878
Copiers,Second Class,Home Office,449.991,2,0,999.98
Phones,First Class,Consumer,3991.698599999999,236,0,24829.8
Phones,First Class,Corporate,2233.1229,154,0,14766.4
Phones,First Class,Home Office,2175.4485,111,0,14019.668
Phones,Same Day,Consumer,924.5855,85,0,8158.38
Phones,Same Day,Corporate,136.7735000000001,19,0,4004.678
Phones,Same Day,Home Office,723.1155999999999,39,0,3825.178
Phones,Second Class,Consumer,4266.263199999999,318,0,31086.634
Phones,Second Class,Corporate,2072.1325999999995,194,0,16146.538
Phones,Second Class,Home Office,2039.2396,146,0,16022.056
Accessories,First Class,Consumer,3846.8691,256,0,14192.402
Accessories,First Class,Corporate,1300.1629000000003,137,0,4970.434
Accessories,First Class,Home Office,760.3811000000001,68,0,3063.856
Accessories,Same Day,Consumer,2518.0355,115,0,9454.772
Accessories,Same Day,Corporate,461.4579,30,0,1989.338
Accessories,Same Day,Home Office,887.1976,21,0,2333.114
Accessories,Second Class,Consumer,3353.4034999999985,332,0,16620.21
Accessories,Second Class,Corporate,3149.8454000000015,193,0,12319.98
Accessories,Second Class,Home Office,2230.4219,104,0,8632.796
Paper,First Class,Consumer,2109.1357000000007,361,0,5070.268
Paper,First Class,Corporate,1998.0165000000004,287,0,4489.554
Paper,First Class,Home Office,812.1469000000003,137,0,1819.976
Paper,Same Day,Consumer,937.5067999999999,152,0,2200.634
Paper,Same Day,Corporate,192.83679999999998,35,0,476.844
Paper,Same Day,Home Office,958.0793000000002,100,0,2028.218
Paper,Second Class,Consumer,3159.595500000001,587,0,7128.588
Paper,Second Class,Corporate,1949.4213999999997,290,0,4465.814
Paper,Second Class,Home Office,2458.0118999999995,245,0,5639.048
Binders,First Class,Consumer,685.5684999999985,427,52,16963.283
Binders,First Class,Corporate,1134.5828999999999,313,36,7849.763
Binders,First Class,Home Office,2307.9910999999997,178,21,11344.767
Binders,Same Day,Consumer,953.7576999999997,160,18,3890.502
Binders,Same Day,Corporate,146.34970000000004,49,5,1623.933
Binders,Same Day,Home Office,40.174699999999994,49,6,305.07
Binders,Second Class,Consumer,2475.871700000004,539,44,15382.644
Binders,Second Class,Corporate,503.29669999999976,342,26,4829.197
Binders,Second Class,Home Office,2482.1736000000005,140,9,6903.501
Chairs,First Class,Consumer,1580.4697999999999,157,0,23810.191
Chairs,First Class,Corporate,72.93429999999994,101,0,14329.007
Chairs,First Class,Home Office,991.8107999999997,77,0,9567.274
Chairs,Same Day,Consumer,597.4019,83,0,10459.779
Chairs,Same Day,Corporate,349.27450000000005,49,0,7496.351
Chairs,Same Day,Home Office,188.96709999999993,28,0,3703.586
Chairs,Second Class,Consumer,2680.5810999999994,269,0,39038.774
Chairs,Second Class,Corporate,2989.693600000001,141,0,22681.153
Chairs,Second Class,Home Office,1095.9753,79,0,13152.131
Storage,First Class,Consumer,1095.8141,209,0,10299.74
Storage,First Class,Corporate,1455.5376000000003,156,0,10815.002
Storage,First Class,Home Office,460.83199999999994,93,0,5158.516
Storage,Same Day,Consumer,283.378,104,0,4450.988
Storage,Same Day,Corporate,314.0611,57,0,2345.766
Storage,Same Day,Home Office,382.837,18,0,2053.472
Storage,Second Class,Consumer,2094.014100000001,342,0,19402.746
Storage,Second Class,Corporate,2792.384000000001,233,0,22247.614
Storage,Second Class,Home Office,547.9151000000002,95,0,6819.012
Appliances,First Class,Consumer,2318.5741,153,3,9769.952
Appliances,First Class,Corporate,1077.5569999999998,91,2,5194.148
Appliances,First Class,Home Office,147.73,9,0,761.924
Appliances,Same Day,Consumer,805.4432999999999,41,2,3252.614
Appliances,Same Day,Corporate,363.82300000000004,25,0,2176.112
Appliances,Same Day,Home Office,-77.6086000000001,11,1,841.866
Appliances,Second Class,Consumer,705.7446000000006,152,7,10762.094
Appliances,Second Class,Corporate,2576.5247,125,3,10337.957
Appliances,Second Class,Home Office,1624.4264,47,2,5438.188
Furnishings,First Class,Consumer,1227.8459000000003,287,8,7896.788
Furnishings,First Class,Corporate,641.5360000000001,186,7,4081.374
Furnishings,First Class,Home Office,223.71460000000005,67,2,1179.794
Furnishings,Same Day,Consumer,125.1326,122,10,3277.226
Furnishings,Same Day,Corporate,146.31019999999998,39,0,1066.576
Furnishings,Same Day,Home Office,127.119,28,0,530.332
Furnishings,Second Class,Consumer,1267.9009,350,16,8185.068
Furnishings,Second Class,Corporate,418.59360000000015,175,8,4547.13
Furnishings,Second Class,Home Office,122.2181,123,9,2683.808
Envelopes,First Class,Consumer,472.1837,46,0,1089.8
Envelopes,First Class,Corporate,243.2106,34,0,651.42
Envelopes,First Class,Home Office,286.2018,34,0,822.236
Envelopes,Same Day,Consumer,187.5898,39,0,447.576
Envelopes,Same Day,Corporate,52.697599999999994,10,0,114.56
Envelopes,Same Day,Home Office,108.5274,9,0,228.34
Envelopes,Second Class,Consumer,451.63270000000006,89,0,1057.532
Envelopes,Second Class,Corporate,708.7653999999999,78,0,1512.604
Envelopes,Second Class,Home Office,120.0054,19,0,277.472
Art,First Class,Consumer,437.3801999999999,217,0,1831.008
Art,First Class,Corporate,134.9884,96,0,695.254
Art,First Class,Home Office,177.98140000000006,101,0,943.826
Art,Same Day,Consumer,191.81350000000003,79,0,764.532
Art,Same Day,Corporate,187.28539999999998,27,0,535.254
Art,Same Day,Home Office,24.3442,27,0,137.69
Art,Second Class,Consumer,802.6697000000004,324,0,3126.274
Art,Second Class,Corporate,289.65600000000006,177,0,1303.774
Art,Second Class,Home Office,206.80320000000003,84,0,839.982
Labels,First Class,Consumer,460.6334,133,0,1036.902
Labels,First Class,Corporate,209.84969999999998,69,0,468.33
Labels,First Class,Home Office,134.2321,48,0,330.748
Labels,Same Day,Consumer,156.81500000000003,41,0,377.874
Labels,Same Day,Corporate,17.5036,10,0,37.48
Labels,Same Day,Home Office,71.2456,17,0,151.094
Labels,Second Class,Consumer,618.3243000000001,124,0,1362.29
Labels,Second Class,Corporate,814.6824,105,0,1905.58
Labels,Second Class,Home Office,33.7814,23,0,84.664
Machines,First Class,Consumer,-3664.7874,22,6,3787.35
Machines,First Class,Corporate,1668.4952,31,2,13954.951
Machines,First Class,Home Office,392.79320000000007,23,1,6411.1
Machines,Same Day,Consumer,1665.0440999999998,9,1,4251.804
Machines,Same Day,Corporate,-1444.8527000000004,18,1,15941.547
Machines,Same Day,Home Office,218.5794,8,0,2605.186
Machines,Second Class,Consumer,3376.5764999999997,18,0,14095.99
Machines,Second Class,Corporate,-1401.937200000001,18,2,6686.166
Machines,Second Class,Home Office,182.3906,7,0,1711.544
Fasteners,First Class,Consumer,62.602199999999996,51,0,167.192
Fasteners,First Class,Corporate,54.031,43,0,155.05
Fasteners,First Class,Home Office,10.442,12,0,35.356
Fasteners,Same Day,Consumer,34.49569999999999,35,0,90.932
Fasteners,Same Day,Corporate,11.32,10,0,33.7
Fasteners,Same Day,Home Office,0.3024,8,0,15.12
Fasteners,Second Class,Consumer,107.11530000000002,85,0,271.35
Fasteners,Second Class,Corporate,34.566500000000005,60,0,149.812
Fasteners,Second Class,Home Office,16.348,23,0,56.856
Supplies,First Class,Consumer,92.66329999999999,44,0,1972.366
Supplies,First Class,Corporate,-8.461599999999997,21,0,1260.694
Supplies,First Class,Home Office,28.90450000000002,9,0,335.234
Supplies,Same Day,Consumer,22.2378,13,0,100.6
Supplies,Same Day,Corporate,36.4002,14,0,332.85
Supplies,Same Day,Home Office,20.302200000000003,7,0,76.86
Supplies,Second Class,Consumer,-662.05,66,0,13263.61
Supplies,Second Class,Corporate,139.82510000000028,74,0,16057.81
Supplies,Second Class,Home Office,16.6625,12,0,56.99
Bookcases,First Class,Consumer,-373.33930000000015,88,2,8980.586
Bookcases,First Class,Corporate,-82.1348000000002,77,2,7715.8239
Bookcases,First Class,Home Office,149.4766,22,0,4368.909
Bookcases,Same Day,Consumer,25.1686,2,0,562.617
Bookcases,Same Day,Corporate,271.4192,4,0,1043.92
Bookcases,Same Day,Home Office,95.97780000000003,13,0,1364.045
Bookcases,Second Class,Consumer,-954.3445000000002,93,3,11808.5941
Bookcases,Second Class,Corporate,-199.29260000000016,53,0,7626.8098
Bookcases,Second Class,Home Office,125.61580000000001,29,0,2871.809
Tables,First Class,Consumer,-356.2374000000001,62,0,9191.455
Tables,First Class,Corporate,297.59060000000005,51,0,8951.387
Tables,First Class,Home Office,-1306.7197,63,0,10657.934
Tables,Same Day,Consumer,-709.1799,44,0,5455.589
