Orders.Segment,Orders.Region,Sum(Orders.Profit),Sum(Orders.Sales)
Consumer,West,57450.60400000006,362880.773
Consumer,East,41190.98429999995,350908.167
Consumer,South,26913.57279999999,195580.971
Consumer,Central,8564.048099999993,252031.434
Corporate,West,34437.42989999997,225855.2745
Corporate,East,23622.578900000022,200409.347
Corporate,Central,18703.902000000013,157995.8128
Corporate,South,15215.223200000008,121885.9325
Home Office,East,26709.2168,127463.726
Home Office,West,16530.41499999999,136721.777
Home Office,Central,12438.412399999987,91212.644
Home Office,South,4620.6343,74255.0015
