"C01.Year ","C01.Month ","C01.Group ",Sum(C01.PL),Sum(C01.AC),Sum(C01.FC)
2017,Jan,Software,,203,
2017,Jan,Support,,70,
2017,Jan,Training,,44,
2017,Jan,Consulting,,172,
2017,Jan,Other,,47,
2017,Feb,Software,,272,
2017,Feb,Support,,157,
2017,Feb,Training,,40,
2017,Feb,Consulting,,186,
2017,Feb,Other,,29,
2017,Mar,Software,,346,
2017,Mar,Support,,174,
2017,Mar,Training,,47,
2017,Mar,Consulting,,192,
2017,Mar,Other,,45,
2017,Apr,Software,,340,
2017,Apr,Support,,204,
2017,Apr,Training,,56,
2017,Apr,Consulting,,184,
2017,Apr,Other,,40,
2017,May,Software,,347,
2017,May,Support,,196,
2017,May,Training,,67,
2017,May,Consulting,,183,
2017,May,Other,,56,
2017,Jun,Software,,335,
2017,Jun,Support,,203,
2017,Jun,Training,,44,
2017,Jun,Consulting,,188,
2017,Jun,Other,,47,
2017,Jul,Software,,328,
2017,Jul,Support,,230,
2017,Jul,Training,,56,
2017,Jul,Consulting,,184,
2017,Jul,Other,,40,
2017,Aug,Software,,364,
2017,Aug,Support,,238,
2017,Aug,Training,,59,
2017,Aug,Consulting,,167,
2017,Aug,Other,,56,
2017,Sep,Software,,381,
2017,Sep,Support,,268,
2017,Sep,Training,,60,
2017,Sep,Consulting,,183,
2017,Sep,Other,,59,
2017,Oct,Software,,,414
2017,Oct,Support,,,246
2017,Oct,Training,,,25
2017,Oct,Consulting,,,183
2017,Oct,Other,,,62
2017,Nov,Software,,,536
2017,Nov,Support,,,138
2017,Nov,Training,,,17
2017,Nov,Consulting,,,107
2017,Nov,Other,,,61
2017,Dec,Software,,,883
2017,Dec,Support,,,168
2017,Dec,Training,,,12
2017,Dec,Consulting,,,111
2017,Dec,Other,,,53
2018,Jan,Software,259,,
2018,Jan,Support,173,,
2018,Jan,Training,76,,
2018,Jan,Consulting,209,,
2018,Jan,Other,69,,
2018,Feb,Software,379,,
2018,Feb,Support,268,,
2018,Feb,Training,64,,
2018,Feb,Consulting,211,,
2018,Feb,Other,61,,
2018,Mar,Software,344,,
2018,Mar,Support,240,,
2018,Mar,Training,74,,
2018,Mar,Consulting,188,,
2018,Mar,Other,60,,
