C13.Year,C13.City,Sum(C13.AC),Sum(C13.PL)
2006,Albania,12,12
2006,Austria,-7,-7
2006,Basel,88,88
2006,Berlin,66,66
2006,Bordeaux,68,68
2006,Bulgaria,7,7
2006,Cologne,79,79
2006,Denmark,-10,-10
2006,Finland,5,5
2006,Frankfurt,50,50
2006,Greece,7,7
2006,Ireland,6,6
2006,Italy,-5,-5
2006,Lausanne,98,98
2006,Linz,112,112
2007,Albania,5,5
2007,Austria,8,8
2007,Basel,78,78
2007,Berlin,34,34
2007,Bordeaux,62,62
2007,Bulgaria,0,0
2007,Cologne,73,73
2007,Denmark,7,7
2007,Finland,-6,-6
2007,Frankfurt,48,48
2007,Greece,6,6
2007,Ireland,8,8
2007,Italy,10,10
2007,Lausanne,88,88
2007,Linz,104,104
2008,Albania,8,8
2008,Austria,5,5
2008,Basel,67,67
2008,Berlin,28,28
2008,Bordeaux,69,69
2008,Bulgaria,8,8
2008,Cologne,69,69
2008,Denmark,-4,-4
2008,Finland,1,1
2008,Frankfurt,40,40
2008,Greece,15,15
2008,Ireland,6,6
2008,Italy,8,8
2008,Lausanne,73,73
2008,Linz,134,134
2009,Albania,6,6
2009,Austria,5,5
2009,Basel,56,56
2009,Berlin,65,65
2009,Bordeaux,84,84
2009,Bulgaria,8,8
2009,Cologne,53,53
2009,Denmark,6,6
2009,Finland,3,3
2009,Frankfurt,34,34
2009,Greece,8,8
2009,Ireland,6,6
2009,Italy,-8,-8
2009,Lausanne,79,79
2009,Linz,113,113
2010,Albania,16,16
2010,Austria,12,12
2010,Basel,43,43
2010,Berlin,136,136
2010,Bordeaux,60,60
2010,Bulgaria,14,14
2010,Cologne,50,50
2010,Denmark,0,0
2010,Finland,-5,-5
2010,Frankfurt,89,89
2010,Greece,19,19
2010,Ireland,17,17
2010,Italy,15,15
2010,Lausanne,133,133
2010,Linz,45,45
2011,Albania,13,13
2011,Austria,8,8
2011,Basel,41,41
2011,Berlin,168,168
2011,Bordeaux,63,63
2011,Bulgaria,-5,-5
2011,Cologne,21,21
2011,Denmark,6,6
2011,Finland,0,0
2011,Frankfurt,78,78
2011,Greece,4,4
2011,Ireland,6,6
2011,Italy,5,5
2011,Lausanne,66,66
2011,Linz,123,123
2012,Albania,10,10
2012,Austria,5,5
2012,Basel,52,52
2012,Berlin,190,190
2012,Bordeaux,72,72
2012,Bulgaria,6,6
2012,Cologne,48,48
2012,Denmark,-4,-4
2012,Finland,1,1
2012,Frankfurt,38,38
2012,Greece,15,15
2012,Ireland,6,6
2012,Italy,8,8
2012,Lausanne,73,73
2012,Linz,109,109
2013,Albania,-6,-6
2013,Austria,8,8
2013,Basel,66,66
2013,Berlin,207,207
2013,Bordeaux,51,51
2013,Bulgaria,5,5
2013,Cologne,49,49
2013,Denmark,7,7
2013,Finland,2,2
2013,Frankfurt,30,30
2013,Greece,8,8
2013,Ireland,10,10
2013,Italy,5,5
2013,Lausanne,70,70
2013,Linz,98,98
2014,Albania,14,14
2014,Austria,4,4
2014,Basel,69,69
2014,Berlin,344,344
2014,Bordeaux,70,70
2014,Bulgaria,10,10
2014,Cologne,38,38
2014,Denmark,-7,-7
2014,Finland,4,4
2014,Frankfurt,24,24
2014,Greece,10,10
2014,Ireland,9,9
2014,Italy,-8,-8
2014,Lausanne,66,66
2014,Linz,78,78
2015,Albania,-5,-5
2015,Austria,8,8
2015,Basel,79,79
2015,Berlin,301,301
2015,Bordeaux,66,66
2015,Bulgaria,9,9
2015,Cologne,39,39
2015,Denmark,8,8
2015,Finland,7,7
2015,Frankfurt,25,25
2015,Greece,15,15
2015,Ireland,-6,-6
2015,Italy,8,8
2015,Lausanne,62,62
2015,Linz,89,89
2016,Albania,,10
2016,Austria,,5
2016,Basel,,84
2016,Berlin,,309
2016,Bordeaux,,65
2016,Bulgaria,,3
2016,Cologne,,41
2016,Denmark,,6
2016,Finland,,10
2016,Frankfurt,,24
2016,Greece,,-4
2016,Ireland,,7
2016,Italy,,6
2016,Lausanne,,66
2016,Linz,,95
2017,Albania,,9
2017,Austria,,6
2017,Basel,,86
2017,Berlin,,311
2017,Bordeaux,,67
2017,Bulgaria,,4
2017,Cologne,,41
2017,Denmark,,7
2017,Finland,,10
2017,Frankfurt,,26
2017,Greece,,9
2017,Ireland,,5
2017,Italy,,8
2017,Lausanne,,68
2017,Linz,,97
