"C01.Year ","C01.Month ","C01.Group ",Sum(C01.PL)
2018,Jan,Software,259
2018,Jan,Support,173
2018,Jan,Training,76
2018,Jan,Consulting,209
2018,Jan,Other,69
2018,Feb,Software,379
2018,Feb,Support,268
2018,Feb,Training,64
2018,Feb,Consulting,211
2018,Feb,Other,61
2018,Mar,Software,344
2018,Mar,Support,240
2018,Mar,Training,74
2018,Mar,Consulting,188
2018,Mar,Other,60
2017,Jan,Software,
2017,Jan,Support,
2017,Jan,Training,
2017,Jan,Consulting,
2017,Jan,Other,
2017,Feb,Software,
2017,Feb,Support,
2017,Feb,Training,
2017,Feb,Consulting,
2017,Feb,Other,
2017,Mar,Software,
2017,Mar,Support,
2017,Mar,Training,
2017,Mar,Consulting,
2017,Mar,Other,
2017,Apr,Software,
2017,Apr,Support,
2017,Apr,Training,
2017,Apr,Consulting,
2017,Apr,Other,
2017,May,Software,
2017,May,Support,
2017,May,Training,
2017,May,Consulting,
2017,May,Other,
2017,Jun,Software,
2017,Jun,Support,
2017,Jun,Training,
2017,Jun,Consulting,
2017,Jun,Other,
2017,Jul,Software,
2017,Jul,Support,
2017,Jul,Training,
2017,Jul,Consulting,
2017,Jul,Other,
2017,Aug,Software,
2017,Aug,Support,
2017,Aug,Training,
2017,Aug,Consulting,
2017,Aug,Other,
2017,Sep,Software,
2017,Sep,Support,
2017,Sep,Training,
2017,Sep,Consulting,
2017,Sep,Other,
2017,Oct,Software,
2017,Oct,Support,
2017,Oct,Training,
2017,Oct,Consulting,
2017,Oct,Other,
2017,Nov,Software,
2017,Nov,Support,
2017,Nov,Training,
2017,Nov,Consulting,
2017,Nov,Other,
2017,Dec,Software,
2017,Dec,Support,
2017,Dec,Training,
2017,Dec,Consulting,
2017,Dec,Other,
