C06.Country,Sum(C06.AC),Sum(C06.PY),Sum(C06.PL)
Spain,53,30,33
Greece,39,38,33
Sweden,40,38,35
Germany,93,90,89
Russia,60,60,56
Italy,14,15,12
Great Britain,15,15,13
Slovenia,4,4,5
Denmark,33,29,35
Netherlands,38,39,42
France,63,60,77
Albania,2,2,2
Andorra,2,2,1
Armenia,2,2,2
Austria,2,2,2
Azerbaijan,2,2,1
Belarus,2,2,2
Belgium,2,2,1
Bosnia and Herzegovina,2,2,2
Bulgaria,2,2,2
Croatia,2,2,2
Cyprus,2,2,2
Czech Republic,2,2,2
Estonia,2,1,1
Finland,2,2,2
Georgia,2,2,2
Hungary,2,2,2
Iceland,2,2,2
Ireland,2,1,1
Kazakhstan,2,1,1
Latvia,2,1,1
Liechtenstein,2,2,2
Lithuania,2,2,2
