"C01.Month ","C01.Group ",Sum(C01.AC),Sum(C01.FC)
Jan,Software,203,
Jan,Support,70,
Jan,Training,44,
Jan,Consulting,172,
Jan,Other,47,
Feb,Software,272,
Feb,Support,157,
Feb,Training,40,
Feb,Consulting,186,
Feb,Other,29,
Mar,Software,346,
Mar,Support,174,
Mar,Training,47,
Mar,Consulting,192,
Mar,Other,45,
Apr,Software,340,
Apr,Support,204,
Apr,Training,56,
Apr,Consulting,184,
Apr,Other,40,
May,Software,347,
May,Support,196,
May,Training,67,
May,Consulting,183,
May,Other,56,
Jun,Software,335,
Jun,Support,203,
Jun,Training,44,
Jun,Consulting,188,
Jun,Other,47,
Jul,Software,328,
Jul,Support,230,
Jul,Training,56,
Jul,Consulting,184,
Jul,Other,40,
Aug,Software,364,
Aug,Support,238,
Aug,Training,59,
Aug,Consulting,167,
Aug,Other,56,
Sep,Software,381,
Sep,Support,268,
Sep,Training,60,
Sep,Consulting,183,
Sep,Other,59,
Oct,Software,,414
Oct,Support,,246
Oct,Training,,25
Oct,Consulting,,183
Oct,Other,,62
Nov,Software,,536
Nov,Support,,138
Nov,Training,,17
Nov,Consulting,,107
Nov,Other,,61
Dec,Software,,883
Dec,Support,,168
Dec,Training,,12
Dec,Consulting,,111
Dec,Other,,53
