Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Order Date.Variation.Date Hierarchy.Quarter,Orders.Order Date.Variation.Date Hierarchy.Month,Orders.Order Date.Variation.Date Hierarchy.Day,Sum(Orders.Profit),CountNonNull(Orders.Country)
2014,Qtr 1,January,3,5.5512,1
2014,Qtr 1,January,4,-65.9901,3
2014,Qtr 1,January,5,4.884,1
2014,Qtr 1,January,6,1358.0524,9
2014,Qtr 1,January,7,-71.9621,2
2014,Qtr 1,January,9,10.918,2
2014,Qtr 1,January,10,22.6537,2
2014,Qtr 1,January,11,3.0814,1
2014,Qtr 1,January,13,673.6386,11
2014,Qtr 1,January,14,-53.2856,1
2014,Qtr 1,January,15,65.978,1
2014,Qtr 1,January,16,-5.933499999999999,4
2014,Qtr 1,January,18,6.4864,1
2014,Qtr 1,January,19,-287.9976,4
2014,Qtr 1,January,20,584.3695,17
2014,Qtr 1,January,21,4.1028,1
2014,Qtr 1,January,23,19.2384,2
2014,Qtr 1,January,26,150.32700000000003,9
2014,Qtr 1,January,27,9.6827,3
2014,Qtr 1,January,28,1.3257,1
2014,Qtr 1,January,30,11.6502,2
2014,Qtr 1,January,31,3.41959999999999,1
2014,Qtr 1,February,1,206.316,1
2014,Qtr 1,February,2,7.152499999999999,3
2014,Qtr 1,February,3,31.5614,2
2014,Qtr 1,February,4,51.14320000000001,3
2014,Qtr 1,February,6,76.4833,4
2014,Qtr 1,February,7,59.3488,2
2014,Qtr 1,February,8,5.5328,1
2014,Qtr 1,February,11,293.5284999999999,9
2014,Qtr 1,February,12,-24.294,1
2014,Qtr 1,February,14,120.1764,4
2014,Qtr 1,February,15,7.209,1
2014,Qtr 1,February,16,-15.658,2
2014,Qtr 1,February,17,8.8088,1
2014,Qtr 1,February,18,-13.846799999999998,2
2014,Qtr 1,February,20,35.5612,3
2014,Qtr 1,February,21,-13.7175,1
2014,Qtr 1,February,22,9.3312,1
2014,Qtr 1,February,23,-4.522500000000001,2
2014,Qtr 1,February,24,18.789299999999997,2
2014,Qtr 1,February,27,3.4048,1
2014,Qtr 1,March,1,-208.9614000000001,10
2014,Qtr 1,March,2,56.0112,4
2014,Qtr 1,March,3,-629.7989,9
2014,Qtr 1,March,4,20.0778,2
2014,Qtr 1,March,5,261.19010000000003,5
2014,Qtr 1,March,7,134.1538999999999,8
2014,Qtr 1,March,10,4.188599999999891,3
2014,Qtr 1,March,11,279.06100000000004,8
2014,Qtr 1,March,14,528.5024000000001,11
2014,Qtr 1,March,15,33.59799999999999,5
2014,Qtr 1,March,16,29.495,1
2014,Qtr 1,March,17,-831.8572,19
2014,Qtr 1,March,18,-954.7088999999999,11
2014,Qtr 1,March,19,68.6353,7
2014,Qtr 1,March,21,1055.3735000000001,11
2014,Qtr 1,March,22,-50.9345,5
2014,Qtr 1,March,23,126.9224,3
2014,Qtr 1,March,24,26.2758,2
2014,Qtr 1,March,25,96.66839999999999,5
2014,Qtr 1,March,26,30.7658,5
2014,Qtr 1,March,28,-11.075400000000005,4
2014,Qtr 1,March,29,-152.7156,1
2014,Qtr 1,March,30,232.7529,9
2014,Qtr 1,March,31,355.1097000000001,9
2014,Qtr 2,April,1,26.0896,4
2014,Qtr 2,April,2,407.39619999999996,6
2014,Qtr 2,April,3,85.6044,3
2014,Qtr 2,April,4,105.4521,8
2014,Qtr 2,April,5,253.90440000000007,13
2014,Qtr 2,April,6,299.51519999999994,13
2014,Qtr 2,April,7,305.056,5
2014,Qtr 2,April,8,359.8481,7
2014,Qtr 2,April,11,523.2728999999999,9
2014,Qtr 2,April,12,152.6580999999999,6
2014,Qtr 2,April,13,-384.7942,5
2014,Qtr 2,April,15,108,2
2014,Qtr 2,April,16,9.768,1
2014,Qtr 2,April,18,169.93740000000003,8
2014,Qtr 2,April,19,87.5664,3
2014,Qtr 2,April,20,-194.4528,4
2014,Qtr 2,April,21,5.5755,2
2014,Qtr 2,April,22,124.78689999999999,2
2014,Qtr 2,April,23,-0.3052999999999999,6
2014,Qtr 2,April,25,332.8671,6
2014,Qtr 2,April,26,40.745,4
2014,Qtr 2,April,28,292.1672,9
2014,Qtr 2,April,29,101.68139999999988,6
2014,Qtr 2,April,30,276.4956,3
2014,Qtr 2,May,2,91.9572,2
2014,Qtr 2,May,3,28.8624,3
2014,Qtr 2,May,4,58.5624,6
2014,Qtr 2,May,5,34.51309999999999,7
2014,Qtr 2,May,6,85.7158,3
2014,Qtr 2,May,7,215.8138,4
2014,Qtr 2,May,8,239.996,1
2014,Qtr 2,May,9,95.17360000000001,6
2014,Qtr 2,May,10,57.82599999999999,8
2014,Qtr 2,May,11,-289.6087999999999,8
2014,Qtr 2,May,12,-119.22550000000001,2
2014,Qtr 2,May,13,-242.28369999999995,6
2014,Qtr 2,May,14,23.316,1
2014,Qtr 2,May,16,20.85,2
2014,Qtr 2,May,17,45.84,1
2014,Qtr 2,May,18,-158.00400000000002,4
2014,Qtr 2,May,19,35.6472,2
2014,Qtr 2,May,20,62.058099999999996,7
2014,Qtr 2,May,21,1719.5086999999999,10
2014,Qtr 2,May,22,46.580999999999996,2
2014,Qtr 2,May,23,58.050200000000004,7
2014,Qtr 2,May,24,56.9772,1
2014,Qtr 2,May,25,-183.78379999999999,3
2014,Qtr 2,May,26,130.50859999999994,8
2014,Qtr 2,May,27,111.54079999999999,5
2014,Qtr 2,May,28,59.3088,3
2014,Qtr 2,May,30,222.03580000000002,8
2014,Qtr 2,May,31,230.9727,2
2014,Qtr 2,June,1,1576.7509,11
2014,Qtr 2,June,2,218.3608,5
2014,Qtr 2,June,3,96.1086,5
2014,Qtr 2,June,4,-6.493199999999999,5
2014,Qtr 2,June,6,-265.2367,9
2014,Qtr 2,June,7,-230.33159999999998,2
2014,Qtr 2,June,8,193.3649999999999,4
2014,Qtr 2,June,9,629.0288999999998,16
2014,Qtr 2,June,10,240.8595,1
2014,Qtr 2,June,13,4.7916,1
2014,Qtr 2,June,14,57.4938,1
2014,Qtr 2,June,15,-78.241,4
2014,Qtr 2,June,16,76.6875999999999,4
2014,Qtr 2,June,17,1126.6297000000002,5
2014,Qtr 2,June,18,12.2325,1
2014,Qtr 2,June,20,-62.95939999999999,9
2014,Qtr 2,June,21,849.4221,18
2014,Qtr 2,June,22,40.21470000000001,7
2014,Qtr 2,June,23,3.1803,3
2014,Qtr 2,June,24,0.9612,1
2014,Qtr 2,June,25,49.717200000000005,4
2014,Qtr 2,June,27,76.1052,3
2014,Qtr 2,June,28,109.76200000000001,6
2014,Qtr 2,June,29,8.557500000000001,2
2014,Qtr 2,June,30,249.5572,8
2014,Qtr 3,July,1,75.33319999999999,3
2014,Qtr 3,July,2,22.1508,2
2014,Qtr 3,July,4,83.9448,4
2014,Qtr 3,July,5,182.7936,10
2014,Qtr 3,July,6,222.84550000000002,2
2014,Qtr 3,July,7,-34.6598,2
2014,Qtr 3,July,8,-8.441999999999993,3
2014,Qtr 3,July,9,57.207800000000006,9
2014,Qtr 3,July,11,537.7298000000001,10
2014,Qtr 3,July,12,88.4544,12
2014,Qtr 3,July,13,4.39019999999998,1
2014,Qtr 3,July,14,-31.101399999999995,9
2014,Qtr 3,July,15,3.9882,2
2014,Qtr 3,July,18,-21.3948,2
2014,Qtr 3,July,19,103.20620000000001,5
2014,Qtr 3,July,20,162.18809999999996,15
2014,Qtr 3,July,21,34.126000000000005,8
2014,Qtr 3,July,22,229.83479999999997,8
2014,Qtr 3,July,23,267.48440000000005,9
2014,Qtr 3,July,25,384.5084,5
2014,Qtr 3,July,26,-3570.9710000000005,15
2014,Qtr 3,July,27,70.31219999999999,3
2014,Qtr 3,July,28,34.6984,3
2014,Qtr 3,July,30,259.8896,1
2014,Qtr 3,August,1,66.47500000000001,6
2014,Qtr 3,August,2,248.0276,3
2014,Qtr 3,August,3,-76.7149,6
2014,Qtr 3,August,4,833.4829,9
2014,Qtr 3,August,5,504.1059000000001,12
2014,Qtr 3,August,6,106.6392,2
2014,Qtr 3,August,8,1129.1342,13
2014,Qtr 3,August,9,700.8937999999998,9
2014,Qtr 3,August,11,45.6444,4
2014,Qtr 3,August,12,357.593,11
2014,Qtr 3,August,15,118.18260000000001,9
2014,Qtr 3,August,16,-227.4912,1
2014,Qtr 3,August,17,193.1836,5
2014,Qtr 3,August,19,175.4619,7
2014,Qtr 3,August,20,569.8905,4
2014,Qtr 3,August,22,4.8787,3
2014,Qtr 3,August,23,160.40159999999997,10
2014,Qtr 3,August,24,20.133200000000002,4
2014,Qtr 3,August,25,118.84230000000002,14
2014,Qtr 3,August,26,92.0889,6
2014,Qtr 3,August,27,513.7323,7
2014,Qtr 3,August,29,-376.4695,5
2014,Qtr 3,August,30,21.485,2
2014,Qtr 3,August,31,18.504,1
2014,Qtr 3,September,1,85.9402,5
2014,Qtr 3,September,2,916.2512,9
2014,Qtr 3,September,3,-4.4639999999999995,2
2014,Qtr 3,September,5,21.823,2
2014,Qtr 3,September,6,39.6308,2
2014,Qtr 3,September,7,-481.24629999999996,25
2014,Qtr 3,September,8,-1452.6877000000002,27
2014,Qtr 3,September,9,16.361600000000003,13
2014,Qtr 3,September,10,259.62080000000003,5
2014,Qtr 3,September,11,21.7515,1
2014,Qtr 3,September,12,600.8836,11
2014,Qtr 3,September,13,243.82370000000006,15
2014,Qtr 3,September,14,1530.7599,19
2014,Qtr 3,September,15,30.1722,3
2014,Qtr 3,September,16,12.582,1
2014,Qtr 3,September,17,233.52870000000004,14
2014,Qtr 3,September,19,-1539.144100000001,9
2014,Qtr 3,September,20,670.1013999999999,18
2014,Qtr 3,September,21,877.4457,16
2014,Qtr 3,September,22,87.47569999999999,8
2014,Qtr 3,September,23,4808.597499999999,12
2014,Qtr 3,September,24,8.47839999999999,1
2014,Qtr 3,September,25,-87.5594,5
2014,Qtr 3,September,26,230.72660000000002,13
2014,Qtr 3,September,27,123.1064,3
2014,Qtr 3,September,28,64.3686,4
2014,Qtr 3,September,29,890.2809000000001,19
2014,Qtr 3,September,30,119.4905,6
2014,Qtr 4,October,1,0,1
2014,Qtr 4,October,2,133.7632,7
2014,Qtr 4,October,3,-65.42790000000001,13
2014,Qtr 4,October,4,45.07089999999995,4
2014,Qtr 4,October,5,46.483000000000004,2
2014,Qtr 4,October,6,50.039500000000004,4
2014,Qtr 4,October,7,31.855999999999998,2
