Orders.Sub-Category,Sum(Orders.Profit),CountNonNull(Orders.Postal Code)
Copiers,55617.82490000005,3873477
Phones,44515.73059999997,47897175
Accessories,41936.63569999995,44468434
Paper,34053.569300000054,76299221
Binders,30221.763300000024,83626398
Chairs,26590.166300000037,34936229
Storage,21278.826400000005,46248720
Appliances,18138.00540000001,25250538
Furnishings,13059.143600000012,51880430
Envelopes,6964.176699999998,13325731
Art,6527.786999999999,43329658
Labels,5546.2540000000035,19552985
Machines,3384.756899999997,6364668
Fasteners,949.5181999999998,12506063
Supplies,-1189.0994999999984,10633558
Bookcases,-3472.5560000000005,12771539
Tables,-17725.48110000002,18607828
