financials.Product,financials.Segment,financials.Discount Band,financials.Country,Sum(financials.COGS)
Paseo,Government,High,Canada,1477815
Paseo,Government,High,France,971425
Paseo,Government,High,Germany,179120
Paseo,Government,High,Mexico,1907125
Paseo,Government,High,United States of America,866012.5
Paseo,Government,Low,Canada,783515
Paseo,Government,Low,France,585175
Paseo,Government,Low,Mexico,8800
Paseo,Government,Low,United States of America,1011327.5
Paseo,Government,Medium,Canada,364220
Paseo,Government,Medium,France,450745
Paseo,Government,Medium,Germany,642050
Paseo,Government,Medium,Mexico,1046025
Paseo,Government,Medium,United States of America,396925
Paseo,Government,None,Canada,469590
Paseo,Government,None,Germany,654940
Paseo,Government,None,Mexico,4415
Paseo,Government,None,United States of America,5715
Paseo,Small Business,High,Canada,559750
Paseo,Small Business,High,Germany,541500
Paseo,Small Business,High,Mexico,685250
Paseo,Small Business,High,United States of America,873750
Paseo,Small Business,Low,Canada,479000
Paseo,Small Business,Low,France,838125
Paseo,Small Business,Low,Germany,957875
Paseo,Small Business,Low,United States of America,1455750
Paseo,Small Business,Medium,Canada,1050000
Paseo,Small Business,Medium,France,443000
Paseo,Small Business,Medium,Germany,280750
Paseo,Small Business,Medium,Mexico,1658000
Paseo,Small Business,Medium,United States of America,247750
Paseo,Small Business,None,Mexico,197000
Paseo,Enterprise,High,Canada,189960
Paseo,Enterprise,High,France,292920
Paseo,Enterprise,High,Germany,130200
Paseo,Enterprise,High,Mexico,258720
Paseo,Enterprise,Low,Canada,781440
Paseo,Enterprise,Low,France,607440
Paseo,Enterprise,Low,Germany,585600
Paseo,Enterprise,Low,Mexico,692160
Paseo,Enterprise,Low,United States of America,87240
Paseo,Enterprise,Medium,France,370680
Paseo,Enterprise,Medium,Germany,421560
Paseo,Enterprise,Medium,Mexico,133680
Paseo,Enterprise,Medium,United States of America,798000
Paseo,Midmarket,High,Canada,99510
Paseo,Midmarket,High,France,21670
Paseo,Midmarket,High,Germany,14530
Paseo,Midmarket,High,Mexico,23640
Paseo,Midmarket,High,United States of America,17670
Paseo,Midmarket,Low,Canada,25810
Paseo,Midmarket,Low,France,45570
Paseo,Midmarket,Low,Germany,26920
Paseo,Midmarket,Low,Mexico,35450
Paseo,Midmarket,Low,United States of America,41100
Paseo,Midmarket,Medium,France,97490
Paseo,Midmarket,Medium,Germany,38590
Paseo,Midmarket,Medium,United States of America,99570
Paseo,Midmarket,None,Canada,21520
Paseo,Midmarket,None,France,5490
Paseo,Midmarket,None,Mexico,34460
Paseo,Channel Partners,High,Canada,18744
Paseo,Channel Partners,High,France,15049.5
Paseo,Channel Partners,High,Germany,3039
Paseo,Channel Partners,High,Mexico,1713
Paseo,Channel Partners,High,United States of America,12642
Paseo,Channel Partners,Low,Canada,3885
Paseo,Channel Partners,Low,France,14223
Paseo,Channel Partners,Low,Germany,2298
Paseo,Channel Partners,Low,Mexico,3252
Paseo,Channel Partners,Low,United States of America,7534.5
Paseo,Channel Partners,Medium,Canada,14190
Paseo,Channel Partners,Medium,Germany,5325
Paseo,Channel Partners,Medium,Mexico,9390
Paseo,Channel Partners,None,Canada,7554
Paseo,Channel Partners,None,Germany,1101
Paseo,Channel Partners,None,United States of America,2736
VTT,Small Business,High,Canada,441250
VTT,Small Business,High,Mexico,108000
VTT,Small Business,High,United States of America,1461250
VTT,Small Business,Low,Canada,468500
VTT,Small Business,Low,Germany,300000
VTT,Small Business,Low,Mexico,123500
VTT,Small Business,Low,United States of America,711000
VTT,Small Business,Medium,Canada,1142500
VTT,Small Business,Medium,France,545000
VTT,Small Business,Medium,Germany,664750
VTT,Small Business,Medium,Mexico,686750
VTT,Small Business,Medium,United States of America,668750
VTT,Small Business,None,Canada,500250
VTT,Small Business,None,France,537750
VTT,Government,High,Canada,199985
VTT,Government,High,France,343445
VTT,Government,High,Germany,502910
VTT,Government,High,Mexico,26845
VTT,Government,High,United States of America,996745
VTT,Government,Low,Canada,251940
VTT,Government,Low,France,566020
VTT,Government,Low,Germany,749335
VTT,Government,Low,Mexico,1294540
VTT,Government,Low,United States of America,159900
VTT,Government,Medium,Canada,21800
VTT,Government,Medium,France,287685
VTT,Government,Medium,Germany,146180
VTT,Government,Medium,Mexico,34770
VTT,Government,Medium,United States of America,397885
VTT,Government,None,Canada,18170
VTT,Government,None,France,397020
VTT,Enterprise,High,Canada,847920
VTT,Enterprise,High,Germany,66240
VTT,Enterprise,High,Mexico,107400
VTT,Enterprise,High,United States of America,286440
VTT,Enterprise,Low,Canada,327480
VTT,Enterprise,Low,France,303720
VTT,Enterprise,Low,Germany,188400
VTT,Enterprise,Low,Mexico,79440
VTT,Enterprise,Low,United States of America,87240
VTT,Enterprise,Medium,Mexico,105240
VTT,Midmarket,High,Canada,15650
VTT,Midmarket,High,France,60415
VTT,Midmarket,High,Germany,16670
VTT,Midmarket,High,Mexico,6410
VTT,Midmarket,High,United States of America,25670
VTT,Midmarket,Low,Germany,19450
VTT,Midmarket,Low,Mexico,15140
VTT,Midmarket,Medium,Canada,28440
VTT,Midmarket,Medium,France,12270
VTT,Midmarket,Medium,United States of America,11530
VTT,Midmarket,None,France,21780
VTT,Midmarket,None,Germany,8880
VTT,Channel Partners,High,Canada,6327
VTT,Channel Partners,High,France,5202
VTT,Channel Partners,High,Mexico,3015
VTT,Channel Partners,High,United States of America,5418
VTT,Channel Partners,Low,France,2598
VTT,Channel Partners,Low,Germany,7437
VTT,Channel Partners,Low,Mexico,5748
VTT,Channel Partners,Medium,Canada,9733.5
VTT,Channel Partners,Medium,France,11917.5
VTT,Channel Partners,Medium,Germany,9285
VTT,Channel Partners,Medium,United States of America,5868
VTT,Channel Partners,None,Germany,8514
Velo,Government,High,Canada,693360
Velo,Government,High,France,200140
Velo,Government,High,Germany,15735
Velo,Government,High,Mexico,461190
Velo,Government,High,United States of America,262420
Velo,Government,Low,Canada,75425
Velo,Government,Low,France,607855
Velo,Government,Low,Germany,1519180
Velo,Government,Low,Mexico,7250
Velo,Government,Low,United States of America,23020
Velo,Government,Medium,Canada,343525
Velo,Government,Medium,France,974600
Velo,Government,Medium,Germany,367400
Velo,Government,Medium,Mexico,20245
Velo,Government,Medium,United States of America,216320
Velo,Government,None,Germany,261560
Velo,Government,None,Mexico,7465
Velo,Small Business,High,Canada,67250
Velo,Small Business,High,France,213250
Velo,Small Business,High,Germany,634000
Velo,Small Business,High,Mexico,651250
Velo,Small Business,High,United States of America,1832000
Velo,Small Business,Medium,Canada,948375
Velo,Small Business,Medium,France,816500
Velo,Small Business,Medium,Germany,312500
Velo,Small Business,Medium,Mexico,158750
Velo,Small Business,Medium,United States of America,343000
Velo,Enterprise,High,Canada,229920
Velo,Enterprise,High,France,79560
Velo,Enterprise,High,Mexico,189000
Velo,Enterprise,High,United States of America,484080
Velo,Enterprise,Low,Canada,351840
Velo,Enterprise,Low,Germany,97080
Velo,Enterprise,Low,Mexico,257400
Velo,Enterprise,Low,United States of America,79560
Velo,Enterprise,Medium,Canada,182280
Velo,Enterprise,Medium,France,84480
Velo,Enterprise,Medium,Germany,347280
Velo,Enterprise,Medium,Mexico,253200
Velo,Enterprise,Medium,United States of America,433920
Velo,Enterprise,None,Canada,41400
Velo,Enterprise,None,France,216480
Velo,Enterprise,None,United States of America,338520
Velo,Midmarket,High,Canada,3840
Velo,Midmarket,High,France,68235
Velo,Midmarket,High,Germany,18510
Velo,Midmarket,High,Mexico,6550
Velo,Midmarket,High,United States of America,7900
Velo,Midmarket,Medium,Canada,12620
Velo,Midmarket,Medium,Germany,15300
Velo,Midmarket,Medium,Mexico,57340
Velo,Midmarket,Medium,United States of America,5550
Velo,Channel Partners,High,Germany,4455
Velo,Channel Partners,High,Mexico,4542
Velo,Channel Partners,High,United States of America,2742
Velo,Channel Partners,Low,France,3165
Velo,Channel Partners,Low,Mexico,3252
Velo,Channel Partners,Low,United States of America,4395
Velo,Channel Partners,Medium,Canada,9087
Velo,Channel Partners,Medium,France,5901
Velo,Channel Partners,None,Germany,11118
Amarilla,Government,High,Canada,779890
Amarilla,Government,High,France,31712.5
Amarilla,Government,High,Mexico,144755
Amarilla,Government,High,United States of America,70200
Amarilla,Government,Low,Canada,462280
Amarilla,Government,Low,France,9410
Amarilla,Government,Low,Germany,1266980
Amarilla,Government,Low,Mexico,484900
Amarilla,Government,Low,United States of America,12360
Amarilla,Government,Medium,Canada,816675
Amarilla,Government,Medium,France,1294535
Amarilla,Government,Medium,Germany,385655
Amarilla,Government,Medium,Mexico,472275
Amarilla,Government,Medium,United States of America,754835
Amarilla,Government,None,France,733990
Amarilla,Government,None,Germany,8430
Amarilla,Government,None,United States of America,5715
Amarilla,Small Business,High,Canada,222000
Amarilla,Small Business,High,France,832000
Amarilla,Small Business,High,Mexico,136500
Amarilla,Small Business,High,United States of America,748250
Amarilla,Small Business,Low,Canada,479000
Amarilla,Small Business,Low,Germany,64750
Amarilla,Small Business,Low,Mexico,275250
Amarilla,Small Business,Medium,Germany,312500
Amarilla,Small Business,Medium,Mexico,773750
Amarilla,Small Business,Medium,United States of America,343000
Amarilla,Enterprise,High,Canada,199080
Amarilla,Enterprise,High,France,171960
Amarilla,Enterprise,High,Germany,379800
Amarilla,Enterprise,High,Mexico,113640
Amarilla,Enterprise,High,United States of America,410760
Amarilla,Enterprise,Low,Germany,273120
Amarilla,Enterprise,Low,Mexico,128880
Amarilla,Enterprise,Medium,Canada,197400
Amarilla,Enterprise,Medium,France,238500
Amarilla,Enterprise,Medium,Germany,119280
Amarilla,Enterprise,None,Germany,506340
Amarilla,Midmarket,High,Canada,17430
Amarilla,Midmarket,High,France,20720
Amarilla,Midmarket,High,Mexico,40270
Amarilla,Midmarket,High,United States of America,57475
Amarilla,Midmarket,Low,France,3210
Amarilla,Midmarket,Low,United States of America,6710
