financials.Country,financials.COGS,financials.Discount Band,Sum(financials. Sales),Sum(financials.Profit)
Canada,1285,High,,
Canada,1285,Low,,
Canada,1285,Medium,1655.08,370.0799999999999
Canada,1285,None,,
Canada,1794,High,,
Canada,1794,Low,,
Canada,1794,Medium,6601.92,4807.92
Canada,1794,None,,
Canada,1940,High,2335.76,395.7600000000002
Canada,1940,Low,,
Canada,1940,Medium,,
Canada,1940,None,,
Canada,2180,High,,
Canada,2180,Low,3139.2,959.1999999999998
Canada,2180,Medium,,
Canada,2180,None,,
Canada,2440,High,,
Canada,2440,Low,,
Canada,2440,Medium,3142.7200000000003,702.7200000000003
Canada,2440,None,,
Canada,2724,High,,
Canada,2724,Low,10569.12,7845.120000000001
Canada,2724,Medium,,
Canada,2724,None,,
Canada,2920,High,,
Canada,2920,Low,,
Canada,2920,Medium,,
Canada,2920,None,5840,2920
Canada,3615,High,4301.85,686.8500000000001
Canada,3615,Low,,
Canada,3615,Medium,,
Canada,3615,None,,
Canada,3840,High,5126.4,1286.3999999999999
Canada,3840,Low,,
Canada,3840,Medium,,
Canada,3840,None,,
Canada,3885,High,,
Canada,3885,Low,30458.4,22688.4
Canada,3885,Medium,,
Canada,3885,None,,
Canada,4095,High,,
Canada,4095,Low,,
Canada,4095,Medium,5217.03,1122.03
Canada,4095,None,,
Canada,4335,High,,
Canada,4335,Low,17166.6,12831.599999999999
Canada,4335,Medium,,
Canada,4335,None,,
Canada,5652,High,,
Canada,5652,Low,,
Canada,5652,Medium,21025.44,15373.439999999999
Canada,5652,None,,
Canada,5675,High,,
Canada,5675,Low,,
Canada,5675,Medium,14777.7,3427.7000000000007
Canada,5675,None,,
Canada,5811,High,20687.16,14876.16
Canada,5811,Low,,
Canada,5811,Medium,,
Canada,5811,None,,
Canada,6327,High,22271.04,15944.04
Canada,6327,Low,,
Canada,6327,Medium,,
Canada,6327,None,,
Canada,6630,High,,
Canada,6630,Low,9189.18,2559.1800000000003
Canada,6630,Medium,,
Canada,6630,None,,
Canada,6666,High,22931.04,16265.04
Canada,6666,Low,,
Canada,6666,Medium,,
Canada,6666,None,,
Canada,6897,High,,
Canada,6897,Low,,
Canada,6897,Medium,51865.44,38071.44
Canada,6897,None,,
Canada,6963,High,,
Canada,6963,Low,,
Canada,6963,Medium,25345.32,18382.32
Canada,6963,None,,
Canada,7080,High,,
Canada,7080,Low,,
Canada,7080,Medium,26054.4,11894.400000000001
Canada,7080,None,,
Canada,7293,High,,
Canada,7293,Low,,
Canada,7293,Medium,55426.8,40840.8
Canada,7293,None,,
Canada,7554,High,,
Canada,7554,Low,,
Canada,7554,Medium,,
Canada,7554,None,60432,45324
Canada,7910,High,,
Canada,7910,Low,,
Canada,7910,Medium,20597.64,4777.639999999999
Canada,7910,None,,
Canada,8055,High,,
Canada,8055,Low,,
Canada,8055,Medium,10262.07,2207.0699999999997
Canada,8055,None,,
Canada,8283,High,29156.16,20873.16
Canada,8283,Low,,
Canada,8283,Medium,,
Canada,8283,None,,
Canada,8310,High,,
Canada,8310,Low,16121.4,7811.4
Canada,8310,Medium,,
Canada,8310,None,,
Canada,8655,High,14713.5,6058.5
Canada,8655,Low,,
Canada,8655,Medium,,
Canada,8655,None,,
Canada,9040,High,11263.84,2223.84
Canada,9040,Low,,
Canada,9040,Medium,,
Canada,9040,None,,
Canada,9150,High,,
Canada,9150,Low,12681.9,3531.8999999999996
Canada,9150,Medium,,
Canada,9150,None,,
Canada,9733.5,High,,
Canada,9733.5,Low,,
Canada,9733.5,Medium,36208.62,26475.120000000003
Canada,9733.5,None,,
Canada,10460,High,,
Canada,10460,Low,14497.56,4037.5599999999995
Canada,10460,Medium,,
Canada,10460,None,,
Canada,10561.5,High,38021.399999999994,27459.899999999998
Canada,10561.5,Low,,
Canada,10561.5,Medium,,
Canada,10561.5,None,,
Canada,11180,High,,
Canada,11180,Low,,
Canada,11180,Medium,20794.8,9614.8
Canada,11180,None,,
Canada,11745,High,,
Canada,11745,Low,,
Canada,11745,Medium,15620.85,3875.8500000000004
Canada,11745,None,,
Canada,12078,High,42997.68,30919.68
Canada,12078,Low,,
Canada,12078,Medium,,
Canada,12078,None,,
Canada,12490,High,43465.2,18485.199999999997
Canada,12490,Low,,
Canada,12490,Medium,,
Canada,12490,None,,
Canada,12620,High,,
Canada,12620,Low,,
Canada,12620,Medium,17604.9,4984.9000000000015
Canada,12620,None,,
Canada,13670,High,33682.88,6342.879999999997
Canada,13670,Low,,
Canada,13670,Medium,,
Canada,13670,None,,
Canada,13890,High,,
Canada,13890,Low,,
Canada,13890,Medium,52782,25002
Canada,13890,None,,
Canada,14255,High,,
Canada,14255,Low,38317.44,9807.440000000002
Canada,14255,Medium,,
Canada,14255,None,,
Canada,15600,High,20826,5226
Canada,15600,Low,,
Canada,15600,Medium,,
Canada,15600,None,,
Canada,15650,High,40846.5,9546.5
Canada,15650,Low,,
Canada,15650,Medium,,
Canada,15650,None,,
Canada,16140,High,20578.5,4438.5
Canada,16140,Low,,
Canada,16140,Medium,,
Canada,16140,None,,
Canada,16185,High,,
Canada,16185,Low,,
Canada,16185,Medium,,
Canada,16185,None,32370,16185
Canada,16305,High,,
Canada,16305,Low,,
Canada,16305,Medium,22256.324999999997,5951.324999999999
Canada,16305,None,,
Canada,17430,High,44969.4,10109.400000000001
Canada,17430,Low,,
Canada,17430,Medium,,
Canada,17430,None,,
Canada,18020,High,,
Canada,18020,Low,,
Canada,18020,Medium,34238,16218
Canada,18020,None,,
Canada,18170,High,,
Canada,18170,Low,,
Canada,18170,Medium,,
Canada,18170,None,72680,36340
Canada,19670,High,,
Canada,19670,Low,28324.8,8654.8
Canada,19670,Medium,,
Canada,19670,None,,
Canada,20740,High,,
Canada,20740,Low,39820.8,19080.800000000003
Canada,20740,Medium,,
Canada,20740,None,,
Canada,21255,High,,
Canada,21255,Low,28566.72,7311.719999999999
Canada,21255,Medium,,
Canada,21255,None,,
Canada,21520,High,,
Canada,21520,Low,,
Canada,21520,Medium,,
Canada,21520,None,32280,10760
Canada,23000,High,59340,13340
Canada,23000,Low,,
Canada,23000,Medium,,
Canada,23000,None,,
Canada,23630,High,,
Canada,23630,Low,34736.1,11106.099999999999
Canada,23630,Medium,,
Canada,23630,None,,
Canada,23940,High,42613.2,18673.199999999997
Canada,23940,Low,,
Canada,23940,Medium,,
Canada,23940,None,,
Canada,24280,High,41761.6,17481.6
Canada,24280,Low,,
Canada,24280,Medium,,
Canada,24280,None,,
Canada,24700,High,31863,7163
Canada,24700,Low,,
Canada,24700,Medium,,
Canada,24700,None,,
Canada,25590,High,32627.25,7037.25
Canada,25590,Low,,
Canada,25590,Medium,,
Canada,25590,None,,
Canada,26460,High,,
Canada,26460,Low,50803.2,24343.199999999997
Canada,26460,Medium,,
Canada,26460,None,,
Canada,26890,High,35494.8,8604.800000000003
Canada,26890,Low,,
Canada,26890,Medium,,
Canada,26890,None,,
Canada,28440,High,,
Canada,28440,Low,,
Canada,28440,Medium,80200.8,23320.800000000003
Canada,28440,None,,
Canada,29350,High,52243,22893
Canada,29350,Low,,
Canada,29350,Medium,,
Canada,29350,None,,
Canada,38505,High,,
Canada,38505,Low,74699.70000000001,36194.700000000004
Canada,38505,Medium,,
Canada,38505,None,,
Canada,41400,High,,
Canada,41400,Low,,
Canada,41400,Medium,,
Canada,41400,None,86250,3450
Canada,52000,High,60200,8200
Canada,52000,Low,,
Canada,52000,Medium,,
Canada,52000,None,,
Canada,67250,High,138804,4304
Canada,67250,Low,,
Canada,67250,Medium,,
Canada,67250,None,,
Canada,68040,High,,
Canada,68040,Low,,
Canada,68040,Medium,64496.25,-3543.75
Canada,68040,None,,
Canada,89100,High,,
Canada,89100,Low,90956.25,1856.25
Canada,89100,Medium,,
Canada,89100,None,,
Canada,110760,High,,
Canada,110760,Low,114221.25,3461.25
Canada,110760,Medium,,
Canada,110760,None,,
Canada,114240,High,,
Canada,114240,Low,,
Canada,114240,Medium,111860,-2380
