Orders.Sub-Category,Orders.Ship Mode,Orders.Segment,Sum(Orders.Profit),Sum(Orders.Quantity),Sum(Orders.Discount),Sum(Orders.Sales)
Copiers,First Class,Consumer,7386.969099999999,16,1.2000000000000002,18279.882
Copiers,First Class,Corporate,2033.4531999999995,14,0.8,5509.878000000001
Copiers,First Class,Home Office,5377.9569999999985,15,0.4,15579.870000000003
Copiers,Same Day,Consumer,1154.9795,7,0.2,3399.9400000000005
Copiers,Same Day,Corporate,839.9860000000001,5,0.2,2399.96
Copiers,Same Day,Home Office,585.9894,4,0.4,1759.968
Copiers,Second Class,Consumer,3433.9333,29,1.7999999999999998,11139.770000000002
Copiers,Second Class,Corporate,2999.946,13,0.6000000000000001,6759.878000000001
Copiers,Second Class,Home Office,449.991,2,0,999.98
Copiers,Standard Class,Consumer,12107.828699999996,65,3.5999999999999996,36999.477999999996
Copiers,Standard Class,Corporate,13116.893699999995,38,1.4,32159.669999999995
Copiers,Standard Class,Home Office,6129.897999999999,26,0.4,14539.756000000001
Phones,First Class,Consumer,3991.698599999999,236,9.200000000000005,24829.800000000003
Phones,First Class,Corporate,2233.1228999999994,154,5.400000000000002,14766.4
Phones,First Class,Home Office,2175.4485000000004,111,4.400000000000001,14019.668
Phones,Same Day,Consumer,924.5854999999996,85,3.6,8158.380000000001
Phones,Same Day,Corporate,136.77350000000013,19,1.4,4004.678
Phones,Same Day,Home Office,723.1156,39,1.5999999999999999,3825.178000000001
Phones,Second Class,Consumer,4266.2632,318,14.000000000000009,31086.63399999999
Phones,Second Class,Corporate,2072.1325999999995,194,8.800000000000004,16146.538
Phones,Second Class,Home Office,2039.2395999999999,146,5.000000000000002,16022.055999999999
Phones,Standard Class,Consumer,14654.5674,1046,42.399999999999885,105857.95000000008
Phones,Standard Class,Corporate,7324.1906000000035,636,27.399999999999935,56235.79799999999
Phones,Standard Class,Home Office,3974.5926,305,14.200000000000008,35053.973999999995
Accessories,First Class,Consumer,3846.8691000000003,256,4.400000000000001,14192.402000000002
Accessories,First Class,Corporate,1300.1628999999998,137,3.0000000000000004,4970.434000000001
Accessories,First Class,Home Office,760.3810999999998,68,1.7999999999999998,3063.856
Accessories,Same Day,Consumer,2518.0355000000004,115,2.6,9454.772
Accessories,Same Day,Corporate,461.4578999999999,30,0.6000000000000001,1989.3380000000002
Accessories,Same Day,Home Office,887.1976,21,0.6000000000000001,2333.114
Accessories,Second Class,Consumer,3353.403499999998,332,7.0000000000000036,16620.21
Accessories,Second Class,Corporate,3149.8453999999992,193,3.600000000000001,12319.979999999998
Accessories,Second Class,Home Office,2230.4218999999994,104,2.1999999999999997,8632.796
Accessories,Standard Class,Consumer,11017.6144,875,20.999999999999982,46837.854
Accessories,Standard Class,Corporate,7796.0143,521,7.800000000000002,28910.811999999994
Accessories,Standard Class,Home Office,4615.232099999997,324,6.200000000000001,18054.749999999996
Paper,First Class,Consumer,2109.1357,361,8.000000000000004,5070.268000000001
Paper,First Class,Corporate,1998.0164999999993,287,6.400000000000003,4489.554
Paper,First Class,Home Office,812.1469,137,1.9999999999999998,1819.9760000000003
Paper,Same Day,Consumer,937.5067999999995,152,4.400000000000001,2200.634
Paper,Same Day,Corporate,192.8368,35,0.8,476.84400000000005
Paper,Same Day,Home Office,958.0793000000001,100,1.4,2028.2179999999998
Paper,Second Class,Consumer,3159.595500000002,587,10.399999999999995,7128.5880000000025
Paper,Second Class,Corporate,1949.4214000000004,290,5.000000000000002,4465.814
Paper,Second Class,Home Office,2458.0118999999995,245,4.800000000000002,5639.048
Paper,Standard Class,Consumer,9328.405599999995,1502,28.199999999999932,21924.87799999997
Paper,Standard Class,Corporate,6221.272099999997,943,20.19999999999996,14450.918000000005
Paper,Standard Class,Home Office,3929.140800000001,539,10.999999999999993,8784.465999999997
Binders,First Class,Consumer,685.5684999999958,427,47.59999999999992,16963.282999999985
Binders,First Class,Corporate,1134.582899999999,313,31.7,7849.763
Binders,First Class,Home Office,2307.991099999999,178,18.299999999999997,11344.767000000009
Binders,Same Day,Consumer,953.7576999999992,160,15.999999999999996,3890.502000000001
Binders,Same Day,Corporate,146.34969999999993,49,5.3999999999999995,1623.9330000000002
Binders,Same Day,Home Office,40.1747,49,5.199999999999999,305.07
Binders,Second Class,Consumer,2475.871700000003,539,43.79999999999993,15382.644000000002
Binders,Second Class,Corporate,503.29669999999953,342,27.6,4829.197000000001
Binders,Second Class,Home Office,2482.1736,140,9.200000000000001,6903.501000000002
Binders,Standard Class,Consumer,13880.399300000001,1889,187.00000000000117,81924.58000000002
Binders,Standard Class,Corporate,4593.090799999998,1144,110.30000000000004,37257.42000000005
Binders,Standard Class,Home Office,1018.5066000000052,744,64.89999999999995,15138.073000000002
Chairs,First Class,Consumer,1580.4697999999994,157,7.499999999999997,23810.191
Chairs,First Class,Corporate,72.9342999999995,101,5.5,14329.007
Chairs,First Class,Home Office,991.8107999999997,77,2.5,9567.274000000001
Chairs,Same Day,Consumer,597.4019000000001,83,2.9999999999999996,10459.779
Chairs,Same Day,Corporate,349.27449999999953,49,1.9000000000000004,7496.351000000001
Chairs,Same Day,Home Office,188.9670999999997,28,2.1,3703.5860000000002
Chairs,Second Class,Consumer,2680.5810999999994,269,11.600000000000005,39038.77399999999
Chairs,Second Class,Corporate,2989.6936000000005,141,6.399999999999999,22681.153000000002
Chairs,Second Class,Home Office,1095.9752999999992,79,3.499999999999999,13152.130999999998
Chairs,Standard Class,Consumer,8376.879099999998,725,34.10000000000002,99553.99799999993
Chairs,Standard Class,Corporate,4932.754099999999,428,17.700000000000006,54634.366999999984
Chairs,Standard Class,Home Office,2733.4247000000005,219,9.2,30022.49199999999
Storage,First Class,Consumer,1095.8140999999996,209,4.200000000000001,10299.739999999998
Storage,First Class,Corporate,1455.5375999999999,156,3.400000000000001,10815.001999999997
Storage,First Class,Home Office,460.83200000000005,93,1.5999999999999999,5158.5160000000005
Storage,Same Day,Consumer,283.37799999999993,104,3.2000000000000006,4450.988000000001
Storage,Same Day,Corporate,314.06110000000007,57,1,2345.7659999999996
Storage,Same Day,Home Office,382.8369999999999,18,0.2,2053.472
Storage,Second Class,Consumer,2094.0141000000003,342,5.200000000000002,19402.746
Storage,Second Class,Corporate,2792.384,233,3.0000000000000004,22247.614000000005
Storage,Second Class,Home Office,547.9151000000002,95,1,6819.012000000001
Storage,Standard Class,Consumer,3630.9941999999987,964,21.999999999999954,66338.92800000004
Storage,Standard Class,Corporate,4569.041999999998,554,11.99999999999999,44382.616
Storage,Standard Class,Home Office,3652.0172000000007,333,6.400000000000003,29529.208000000002
Appliances,First Class,Consumer,2318.5741,153,4.8,9769.952
Appliances,First Class,Corporate,1077.557,91,2.5,5194.147999999999
Appliances,First Class,Home Office,147.7299999999999,9,0.5,761.924
Appliances,Same Day,Consumer,805.4432999999998,41,1.9000000000000001,3252.6139999999996
Appliances,Same Day,Corporate,363.823,25,0.7000000000000001,2176.112
Appliances,Same Day,Home Office,-77.60860000000014,11,1,841.8660000000001
Appliances,Second Class,Consumer,705.7446000000006,152,7.599999999999999,10762.093999999997
Appliances,Second Class,Corporate,2576.5246999999995,125,4.499999999999999,10337.956999999999
Appliances,Second Class,Home Office,1624.4263999999998,47,1.7000000000000002,5438.187999999999
Appliances,Standard Class,Consumer,3152.1661999999997,562,29.90000000000002,29034.920999999984
Appliances,Standard Class,Corporate,3411.9904999999994,328,17.000000000000007,18880.465999999993
Appliances,Standard Class,Home Office,2031.6341999999995,185,5.499999999999999,11081.918999999996
Furnishings,First Class,Consumer,1227.8458999999996,287,10,7896.787999999999
Furnishings,First Class,Corporate,641.5359999999998,186,7.999999999999999,4081.3740000000007
Furnishings,First Class,Home Office,223.71460000000002,67,3,1179.7939999999999
Furnishings,Same Day,Consumer,125.13260000000007,122,7.399999999999999,3277.2260000000006
Furnishings,Same Day,Corporate,146.31019999999995,39,0.8,1066.5760000000002
Furnishings,Same Day,Home Office,127.11899999999999,28,0.6000000000000001,530.332
Furnishings,Second Class,Consumer,1267.9009000000008,350,14.199999999999996,8185.067999999999
