Orders.Sub-Category,Orders.Ship Mode,Sum(Orders.Profit),Sum(Orders.Quantity),Sum(Orders.Discount),Sum(Orders.Sales)
Copiers,First Class,14798.3793,45,0,39369.63
Copiers,Same Day,2580.9548999999997,16,0,7559.868
Copiers,Second Class,6883.8703,44,0,18899.628
Copiers,Standard Class,31354.62040000001,129,0,83698.904
Phones,First Class,8400.270000000004,501,0,53615.868
Phones,Same Day,1784.4745999999998,143,0,15988.236
Phones,Second Class,8377.6354,658,0,63255.228
Phones,Standard Class,25953.350600000016,1987,0,197147.722
Accessories,First Class,5907.413099999997,461,0,22226.692
Accessories,Same Day,3866.6910000000007,166,0,13777.224
Accessories,Second Class,8733.670800000002,629,0,37572.986
Accessories,Standard Class,23428.860799999988,1720,0,93803.416
Paper,First Class,4919.299099999999,785,0,11379.798
Paper,Same Day,2088.4229,287,0,4705.696
Paper,Second Class,7567.028799999996,1122,0,17233.45
Paper,Standard Class,19478.8185,2984,0,45160.262
Binders,First Class,4128.142500000004,918,109,36157.813
Binders,Same Day,1140.2820999999994,258,29,5819.505
Binders,Second Class,5461.342000000005,1021,79,27115.342
Binders,Standard Class,19491.996699999992,3777,396,134320.073
Chairs,First Class,2645.2149000000004,335,0,47706.472
Chairs,Same Day,1135.6434999999994,160,0,21659.716
Chairs,Second Class,6766.249999999999,489,0,74872.058
Chairs,Standard Class,16043.0579,1372,0,184210.857
Storage,First Class,3012.1836999999996,458,0,26273.258
Storage,Same Day,980.2761,179,0,8850.226
Storage,Second Class,5434.313199999993,670,0,48469.372
Storage,Standard Class,11852.0534,1851,0,140250.752
Appliances,First Class,3543.8611,253,5,15726.024
Appliances,Same Day,1091.6577,77,3,6270.592
Appliances,Second Class,4906.695699999998,324,12,26538.239
Appliances,Standard Class,8595.79090000001,1075,47,58997.306
Furnishings,First Class,2093.0965000000006,540,17,13157.956
Furnishings,Same Day,398.56179999999983,189,10,4874.134
Furnishings,Second Class,1808.7125999999998,648,33,15416.006
Furnishings,Standard Class,8758.772699999994,2186,78,58257.068
Envelopes,First Class,1001.5960999999999,114,0,2563.456
Envelopes,Same Day,348.81479999999993,58,0,790.476
Envelopes,Second Class,1280.4035000000006,186,0,2847.608
Envelopes,Standard Class,4333.362299999999,548,0,10274.862
Art,First Class,750.35,414,0,3470.088
Art,Same Day,403.4431,133,0,1437.476
Art,Second Class,1299.1289,585,0,5270.03
Art,Standard Class,4074.864999999998,1868,0,16941.198
Labels,First Class,804.7151999999999,250,0,1835.98
Labels,Same Day,245.56420000000006,68,0,566.448
Labels,Second Class,1466.7880999999993,252,0,3352.534
Labels,Standard Class,3029.1865000000003,830,0,6731.35
Machines,First Class,-1603.4990000000003,76,9,24153.401
Machines,Same Day,438.77079999999944,35,2,22798.537
Machines,Second Class,2157.029899999999,43,2,22493.7
Machines,Standard Class,2392.4552,286,10,119792.993
Fasteners,First Class,127.07520000000002,106,0,357.598
Fasteners,Same Day,46.1181,53,0,139.752
Fasteners,Second Class,158.0298,168,0,478.018
Fasteners,Standard Class,618.2950999999997,587,0,2048.912
Supplies,First Class,113.10619999999999,74,0,3568.294
Supplies,Same Day,78.94019999999999,34,0,510.31
Supplies,Second Class,-505.56239999999974,152,0,29378.41
Supplies,Standard Class,-875.5834999999996,387,0,13216.524
Bookcases,First Class,-305.9975000000003,187,4,21065.3189
Bookcases,Same Day,392.56559999999996,19,0,2970.582
Bookcases,Second Class,-1028.0213000000006,175,3,22307.2129
Bookcases,Standard Class,-2531.1028000000006,487,8,68536.8825
Tables,First Class,-1365.3665000000003,176,0,28800.776
Tables,Same Day,-1129.4225,85,0,9644.347
Tables,Second Class,-3320.6798999999996,257,0,43693.7475
Tables,Standard Class,-11910.012199999997,723,0,124826.6615
