Orders.Sub-Category,Orders.Ship Mode,Sum(Orders.Profit),Sum(Orders.Quantity),Sum(Orders.Discount),Sum(Orders.Sales),Min(Orders.Product Name)
Copiers,First Class,14798.3793,45,0,39369.63,Canon imageCLASS 2200 Advanced Copier
Copiers,Same Day,2580.9548999999997,16,0,7559.868,Brother DCP1000 Digital 3 in 1 Multifunction Machine
Copiers,Second Class,6883.8703,44,0,18899.628,Brother DCP1000 Digital 3 in 1 Multifunction Machine
Copiers,Standard Class,31354.62040000001,129,0,83698.904,Brother DCP1000 Digital 3 in 1 Multifunction Machine
Phones,First Class,8400.270000000004,501,0,53615.868,Aastra 57i VoIP phone
Phones,Same Day,1784.4745999999998,143,0,15988.236,Aastra 57i VoIP phone
Phones,Second Class,8377.6354,658,0,63255.228,Anker Astro 15000mAh USB Portable Charger
Phones,Standard Class,25953.350600000016,1987,0,197147.722,Aastra 57i VoIP phone
Accessories,First Class,5907.413099999997,461,0,22226.692,AmazonBasics 3-Button USB Wired Mouse
Accessories,Same Day,3866.6910000000007,166,0,13777.224,HP Standard 104 key PS/2 Keyboard
Accessories,Second Class,8733.670800000002,629,0,37572.986,AmazonBasics 3-Button USB Wired Mouse
Accessories,Standard Class,23428.860799999988,1720,0,93803.416,AmazonBasics 3-Button USB Wired Mouse
Paper,First Class,4919.299099999999,785,0,11379.798,14-7/8 x 11 Blue Bar Computer Printout Paper
Paper,Same Day,2088.4229,287,0,4705.696,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”"
Paper,Second Class,7567.028799999996,1122,0,17233.45,"""While you Were Out"" Message Book, One Form per Page"
Paper,Standard Class,19478.8185,2984,0,45160.262,"""While you Were Out"" Message Book, One Form per Page"
Binders,First Class,4128.142500000004,918,109,36157.813,3M Organizer Strips
Binders,Same Day,1140.2820999999994,258,29,5819.505,3-ring staple pack
Binders,Second Class,5461.342000000005,1021,79,27115.342,3M Organizer Strips
Binders,Standard Class,19491.996699999992,3777,396,134320.073,3M Organizer Strips
Chairs,First Class,2645.2149000000004,335,0,47706.472,DMI Arturo Collection Mission-style Design Wood Chair
Chairs,Same Day,1135.6434999999994,160,0,21659.716,DMI Arturo Collection Mission-style Design Wood Chair
Chairs,Second Class,6766.249999999999,489,0,74872.058,Bevis Steel Folding Chairs
Chairs,Standard Class,16043.0579,1372,0,184210.857,Bevis Steel Folding Chairs
Storage,First Class,3012.1836999999996,458,0,26273.258,Acco Perma 2700 Stacking Storage Drawers
Storage,Same Day,980.2761,179,0,8850.226,Acco Perma 3000 Stacking Storage Drawers
