financials.Country,financials.Discount Band,financials.Product,Sum(financials. Sales),Sum(financials.Units Sold)
United States of America,High,Amarilla,1389351.7049999998,17362.5
United States of America,High,Carretera,733882.4199999999,12147.5
United States of America,High,Montana,1280259.7899999998,12398.5
United States of America,High,Paseo,2002018.145,17386.5
United States of America,High,Velo,2683116.5,14658
United States of America,High,VTT,3052297.72,18244
United States of America,Low,Amarilla,57517.32,3896
United States of America,Low,Carretera,195163.59000000003,6938
United States of America,Low,Montana,1551472.77,8170
United States of America,Low,Paseo,3199430.3549999995,24457
United States of America,Low,Velo,143747.85,4430
United States of America,Low,VTT,1126072.25,4186
United States of America,Medium,Amarilla,1323894.38,8359
United States of America,Medium,Carretera,910793.54,6732.5
United States of America,Medium,Montana,803169.24,10429
United States of America,Medium,Paseo,1723932.27,25568
United States of America,Medium,Velo,1119338.65,13852
United States of America,Medium,VTT,1287222.67,12070
Canada,High,Amarilla,1444328.95,16252.5
Canada,High,Carretera,1039459.46,13321
Canada,High,Montana,801257.2999999999,9098.5
Canada,High,Paseo,2741974.6700000004,32251.5
Canada,High,Velo,1102786.24,7009
Canada,High,VTT,1527431.04,16928.5
Canada,Low,Amarilla,1160712,3694
Canada,Low,Carretera,1147437.29,10924.5
Canada,Low,Montana,60165.42,6648
Canada,Low,Paseo,2456023.2700000005,21481
Canada,Low,Velo,497812.96,11520.5
Canada,Low,VTT,1215748.43,6872.5
Canada,Medium,Amarilla,1250724.925,9285.5
Canada,Medium,Carretera,390937.58999999997,8940
Canada,Medium,Montana,1443967.81,10213.5
Canada,Medium,Paseo,1705097.05,15955
Canada,Medium,Velo,1685766.1400000001,13589.5
Canada,Medium,VTT,1388934.8399999999,13629.5
France,High,Amarilla,1127490.17,17043.5
France,High,Carretera,1275224.29,11629.5
France,High,Montana,810911.86,5324
France,High,Paseo,1506131.11,22346.5
France,High,Velo,647413.725,12973.5
France,High,VTT,498663.57999999996,10840.5
France,Low,Amarilla,23210.449999999997,1262
France,Low,Carretera,1307678.055,11214.5
France,Low,Montana,209105.05,5107.5
France,Low,Paseo,2493695.79,24842.5
France,Low,Velo,824814.27,7735
France,Low,VTT,1054659.57,5574
France,Medium,Amarilla,1865246.51,8648.5
France,Medium,Carretera,807749.55,9034
France,Medium,Montana,2469385.46,18951.5
France,Medium,Paseo,1589689.1600000001,23868
France,Medium,Velo,2280368.24,14097
France,Medium,VTT,1045450.4400000001,13504
Germany,High,Amarilla,403425.21,7981
Germany,High,Carretera,1435414.1,9690
Germany,High,Montana,652765.6,4957
Germany,High,Paseo,973880.32,14704
Germany,High,Velo,715723.68,8778
Germany,High,VTT,697585.45,5900
Germany,Low,Amarilla,2013046,7408
Germany,Low,Carretera,904615.0800000001,6270
Germany,Low,Montana,1947668.8199999998,9341
Germany,Low,Paseo,1756117.28,12169.5
Germany,Low,Velo,2103251.5,6652
Germany,Low,VTT,1591909.4,10334
Germany,Medium,Amarilla,1004539.55,9320
Germany,Medium,Carretera,153021.5,5262
Germany,Medium,Montana,918232.9500000001,9151
Germany,Medium,Paseo,1613763.1400000001,25934
Germany,Medium,Velo,1177359.8199999998,10908
Germany,Medium,VTT,957112.92,11171
Mexico,High,Amarilla,502833.84,12669
Mexico,High,Carretera,1081180.68,11949
Mexico,High,Montana,305296.21,15453
Mexico,High,Paseo,3238792.29,22687
Mexico,High,Velo,1426391.9100000001,8993
Mexico,High,VTT,275198.76,7109
Mexico,Low,Amarilla,1079214,4040
Mexico,Low,Carretera,1050043.5,3101
Mexico,Low,Montana,410148.7,7733
Mexico,Low,Paseo,781759.99,12157
Mexico,Low,Velo,288681.4,4135
Mexico,Low,VTT,1978856.34,9565
Mexico,Medium,Amarilla,1495507.5499999998,11687
Mexico,Medium,Carretera,711327.24,9704
Mexico,Medium,Montana,901434.4,5140
Mexico,Medium,Paseo,3312908.1100000003,23321
Mexico,Medium,Velo,525213.58,11919
Mexico,Medium,VTT,918341.61,9455
