financials.Country,financials.Month Name,Sum(financials. Sales),Sum(financials.COGS),Sum(financials.Profit)
United States of America,April,1616624.475,1411231.5,205392.97499999998
United States of America,August,2007266.1199999999,1763703,243563.12
United States of America,December,2394507.6799999997,2189794,204713.67999999996
United States of America,February,1332890.66,1165414,167476.66
United States of America,January,1346026.485,1228465.5,117560.985
United States of America,July,2308798.125,2000353.5,308444.62499999994
United States of America,June,1323610.8,1095922,227688.80000000002
United States of America,March,1789974.47,1593940,196034.47
United States of America,May,1949249.3499999999,1714543,234706.34999999998
United States of America,November,3093502.6500000004,2786255,307247.65
United States of America,October,3457102.9999999995,3042850,414252.9999999999
United States of America,September,2410276.35,2041818,368458.35000000003
Canada,April,1593562.95,1353856.5,239706.45
Canada,August,952043.0399999999,787112,164931.04
Canada,December,5546988.63,4560265,986723.6299999999
Canada,February,1482165.98,1231691,250474.98
Canada,January,1186256.49,1047493.5,138762.99
Canada,July,2109549.285,1856538,253011.285
Canada,June,2725979.4,2393058,332921.4000000001
Canada,March,811132.5,727234,83898.5
Canada,May,783941.6699999999,703442,80499.67
Canada,November,2372659.3600000003,2097109,275550.36
Canada,October,3445532.7600000007,2942234,503298.75999999995
Canada,September,1877842.8199999998,1658393,219449.82
France,April,1332862.6950000003,1196365.5,136497.195
France,August,779802.09,688145,91657.09
France,December,3325070.5199999996,2786418,538652.52
France,February,1537438.46,1214280,323158.45999999996
France,January,1544720.745,1297212,247508.745
France,July,1148065.08,1016334,131731.08
France,June,1629183.98,1295646,333537.98000000004
France,March,1559748.75,1428256,131492.75
France,May,1042776.97,886258,156518.97
France,November,2109571.89,1844421,265150.89
France,October,5770138.52,4856786,913352.52
France,September,2574792.58,2063030,511762.57999999996
Germany,April,1394813.46,1217414,177399.46000000002
Germany,August,1046755.1699999999,949662,97093.17000000001
Germany,December,3141199.29,2594033,547166.2899999998
Germany,February,1347335.8699999999,1155588,191747.87
Germany,January,874935.11,815027,59908.11
Germany,July,1609549.75,1485031,124518.75
Germany,June,1630025.24,1322150,307875.24
Germany,March,479509.59,394658,84851.59
Germany,May,1317483,1114765,202718
Germany,November,2336054.4000000004,2084526,251528.4
Germany,October,5977029.880000001,4760098,1216931.88
Germany,September,2350650.06,1932000,418650.06
Mexico,April,1026911.49,855923,170988.49
Mexico,August,1078756,884934,193822
Mexico,December,2959462.8600000003,2519389,440073.8600000001
Mexico,February,1597700.42,1382011,215689.42
Mexico,January,1655822.85,1405535,250287.85
Mexico,July,926957.94,820798,106159.94
Mexico,June,2210094.4,1938364,271730.4
Mexico,March,946494.56,772905,173589.56
Mexico,May,1116760.07,962563,154197.07
Mexico,November,2739629.1999999997,2469004,270625.19999999995
Mexico,October,3021626.86,2629682,391944.86
Mexico,September,1669135.46,1400721,268414.45999999996
