10000.County,10000.Invoice/Item Number,Sum(10000.Sale (Dollars)),Sum(10000.Pack),Sum(10000.Volume Sold (Liters)),
(Blank),S03833700020,38.53,6,2,NaN
(Blank),S04829500028,33.12,6,5,NaN
(Blank),S05836300021,19.65,12,1,NaN
(Blank),S07061900003,80.28,6,10,NaN
(Blank),S07879000006,141.84,12,24,NaN
(Blank),S09257900003,94.08,12,9,NaN
(Blank),S09377500017,20.25,12,2,NaN
(Blank),S10375800020,17.31,12,2,NaN
(Blank),S10380700010,60.6,12,9,NaN
(Blank),S11014600017,6.64,12,2,NaN
(Blank),S12434000010,211.44,12,12,NaN
(Blank),S13344400005,70.92,12,12,NaN
(Blank),S13965900016,147,6,6,NaN
(Blank),S14969500003,99.12,12,9,NaN
(Blank),S16019900008,143.88,12,12,NaN
(Blank),S16019900010,67.14,6,10,NaN
(Blank),S16525100028,9.62,12,1,NaN
(Blank),S20254500001,173.76,12,9,NaN
Adair,S03952500001,162.78,6,4,NaN
Adair,S06507500006,90,6,4,NaN
Adair,S06740200006,116.88,12,9,NaN
Adair,S07520800002,141.72,12,9,NaN
Adair,S08649500001,325.56,6,9,NaN
Adair,S09935400010,269.88,12,12,NaN
Adair,S10947500017,130.44,12,4,NaN
Adair,S13708900009,113.88,12,9,NaN
Adair,S19274300014,16.62,12,1,NaN
Adair,S22693600008,162.84,6,4,NaN
Adair,S23707500005,197.28,12,18,NaN
Adair,S24161800011,43.17,12,2,NaN
Adams,S06127400030,18.94,6,4,NaN
Adams,S08502000007,14.04,48,1,NaN
Adams,S12974700026,38.98,12,2,NaN
Adams,S14744900010,56.13,12,3,NaN
Adams,S19833100023,20.07,12,3,NaN
Adams,S23958200016,58.95,12,2,NaN
Allamakee,S04383000035,12,12,2,NaN
Allamakee,S05169800046,25.98,12,2,NaN
Allamakee,S05510300065,16.5,12,1,NaN
Allamakee,S06464700114,75,6,3,NaN
Allamakee,S06702800003,101.4,6,10,NaN
Allamakee,S06825700031,17.31,12,1,NaN
Allamakee,S07066200050,121.17,12,7,NaN
Allamakee,S07609500059,44.97,12,2,NaN
Allamakee,S07756500041,19.54,24,1,NaN
Allamakee,S07888900057,101.64,12,6,NaN
Allamakee,S09249600029,17.72,24,2,NaN
Allamakee,S10131500002,94.02,6,10,NaN
Allamakee,S10524500010,15.68,12,2,NaN
Allamakee,S10657400011,61.62,6,10,NaN
Allamakee,S11908400029,93.78,6,4,NaN
Allamakee,S12550300054,8.98,48,0,NaN
Allamakee,S13272500002,101.58,6,10,NaN
Allamakee,S13401900027,137.16,12,12,NaN
Allamakee,S13536500030,131.94,6,10,NaN
Allamakee,S14361900080,10.13,6,2,NaN
Allamakee,S15178200005,10.04,12,1,NaN
Allamakee,S15223900064,8.82,24,1,NaN
Allamakee,S15711600031,19.49,12,1,NaN
Allamakee,S16946500009,61.32,12,6,NaN
Allamakee,S17238900004,85.68,12,9,NaN
Allamakee,S17472800029,21.05,12,1,NaN
Allamakee,S17608300040,61.42,12,2,NaN
Allamakee,S18705700008,215.88,12,9,NaN
Allamakee,S20644600017,67.41,12,3,NaN
Allamakee,S20648600013,83.1,6,10,NaN
Allamakee,S21667000003,94.2,12,9,NaN
Allamakee,S22877600010,203.28,6,21,NaN
Allamakee,S22877600060,15.74,12,1,NaN
Allamakee,S23488300026,486,6,32,NaN
Appanoose,S03434600012,80.94,6,10,NaN
Appanoose,S04220700019,99.12,6,10,NaN
Appanoose,S04343800048,52.11,12,2,NaN
Appanoose,S04570000029,21.82,12,2,NaN
Appanoose,S05466400032,22.5,12,2,NaN
Appanoose,S06183700005,66,24,9,NaN
Appanoose,S06901100081,28.35,12,2,NaN
Appanoose,S07010900002,279.6,12,12,NaN
Appanoose,S09465700020,22.49,12,1,NaN
Appanoose,S09959100008,20.98,12,2,NaN
Appanoose,S10451900001,93.78,6,4,NaN
Appanoose,S13295000005,70.92,12,12,NaN
Appanoose,S13404200004,62.28,6,10,NaN
Appanoose,S14085200039,103.86,6,10,NaN
Appanoose,S14780800011,305.88,12,9,NaN
Appanoose,S15442800001,93.12,6,10,NaN
Appanoose,S17857400010,58.5,6,4,NaN
Appanoose,S18443400004,60.84,12,9,NaN
Appanoose,S18576100009,75,12,12,NaN
Appanoose,S19221300061,35.98,6,4,NaN
