financials.Discount Band,financials.Country,Sum(financials. Sales),Sum(financials.Gross Sales),CountNonNull(financials.Month Name),Sum(financials.Profit),
High,United States of America,11140926.280000001,12683271.5,51,866326.7800000001,NaN
High,Canada,8657237.659999998,9890655,53,911261.1599999999,NaN
High,France,5865834.735,6703921.5,45,535982.735,NaN
High,Germany,4878794.360000001,5564373,40,424957.35999999987,NaN
High,Mexico,6829693.690000001,7847292,56,650338.6900000002,NaN
Low,United States of America,6273404.135000001,6432206.5,34,1147004.1349999998,NaN
Low,Canada,6537899.370000001,6697135.5,31,1140580.3699999999,NaN
Low,France,5913163.185,6068296.5,31,1061776.1849999998,NaN
Low,Germany,10316608.08,10604809,34,1847355.0800000003,NaN
Low,Mexico,5588703.93,5713007,30,992141.93,NaN
Medium,United States of America,7168350.749999999,7706731,47,912328.75,NaN
Medium,Canada,7865428.355,8517283.5,44,1093780.855,NaN
Medium,France,10057889.36,10792171.5,55,1619256.8599999999,NaN
Medium,Germany,5824029.879999998,6266377,50,823095.88,NaN
Medium,Mexico,7864732.489999999,8500414,46,1131060.4899999995,NaN
None,United States of America,447149,447149,8,69881,NaN
None,Canada,1827089.5,1827089.5,12,383606.5,NaN
None,France,2517285,2517285,9,564005,NaN
None,Germany,2485908.5,2485908.5,16,584980.5,NaN
None,Mexico,666222,666222,8,133982,NaN
