financials.Discount Band,financials.Segment,Sum(financials. Sales)
Medium,Small Business,16893348
Medium,Government,15454138.400000004
Medium,Enterprise,5115507.5
Medium,Midmarket,735086.175
Medium,Channel Partners,582350.76
High,Government,16291390.694999991
High,Small Business,13030977
High,Enterprise,6528971.25
High,Midmarket,945854.3999999998
High,Channel Partners,575293.3800000001
Low,Government,16622003.575
Low,Small Business,10734193.5
Low,Enterprise,6442215.625
Low,Channel Partners,420973.49999999994
Low,Midmarket,410392.50000000006
None,Government,4136728
None,Small Business,1769400
None,Enterprise,1525000
None,Midmarket,290550
None,Channel Partners,221976
