financials.Country,financials.Segment,financials.Product,financials.Month Name,financials.Discount Band,Sum(financials. Sales),Sum(financials.COGS)
Canada,Channel Partners,Amarilla,April,High,38021.399999999994,10561.5
Canada,Channel Partners,Amarilla,April,None,,
Canada,Channel Partners,Amarilla,August,High,,
Canada,Channel Partners,Amarilla,August,Medium,,
Canada,Channel Partners,Amarilla,August,None,,
Canada,Channel Partners,Amarilla,December,High,,
Canada,Channel Partners,Amarilla,December,Medium,,
Canada,Channel Partners,Amarilla,October,High,,
Canada,Channel Partners,Amarilla,September,High,29156.16,8283
Canada,Channel Partners,Amarilla,September,Low,,
Canada,Channel Partners,Carretera,August,Medium,21025.44,5652
Canada,Channel Partners,Carretera,December,Low,10569.12,2724
Canada,Channel Partners,Carretera,February,High,20687.16,5811
Canada,Channel Partners,Carretera,February,Low,,
Canada,Channel Partners,Carretera,February,Medium,,
Canada,Channel Partners,Carretera,October,High,,
Canada,Channel Partners,Carretera,October,Low,15229.2,3885
Canada,Channel Partners,Carretera,October,Medium,25932.72,6897
Canada,Channel Partners,Carretera,September,Low,17166.6,4335
Canada,Channel Partners,Carretera,September,Medium,,
France,Channel Partners,Amarilla,April,High,,
France,Channel Partners,Amarilla,April,None,,
France,Channel Partners,Amarilla,August,High,25542,7425
France,Channel Partners,Amarilla,August,Medium,,
France,Channel Partners,Amarilla,August,None,,
France,Channel Partners,Amarilla,December,High,,
France,Channel Partners,Amarilla,December,Medium,3341.52,918
France,Channel Partners,Amarilla,October,High,14375.76,4179
France,Channel Partners,Amarilla,September,High,,
France,Channel Partners,Amarilla,September,Low,,
France,Channel Partners,Carretera,August,Medium,,
France,Channel Partners,Carretera,December,Low,,
France,Channel Partners,Carretera,February,High,,
France,Channel Partners,Carretera,February,Low,,
France,Channel Partners,Carretera,February,Medium,21261,5595
France,Channel Partners,Carretera,October,High,12794.64,3594
France,Channel Partners,Carretera,October,Low,,
France,Channel Partners,Carretera,October,Medium,,
France,Channel Partners,Carretera,September,Low,31731.48,8013
France,Channel Partners,Carretera,September,Medium,,
Germany,Channel Partners,Amarilla,April,High,,
Germany,Channel Partners,Amarilla,April,None,,
Germany,Channel Partners,Amarilla,August,High,27799.2,7722
Germany,Channel Partners,Amarilla,August,Medium,,
Germany,Channel Partners,Amarilla,August,None,,
Germany,Channel Partners,Amarilla,December,High,18478.8,5310
Germany,Channel Partners,Amarilla,December,Medium,,
Germany,Channel Partners,Amarilla,October,High,5040.96,1416
Germany,Channel Partners,Amarilla,September,High,,
Germany,Channel Partners,Amarilla,September,Low,,
Germany,Channel Partners,Carretera,August,Medium,,
Germany,Channel Partners,Carretera,December,Low,,
Germany,Channel Partners,Carretera,February,High,,
Germany,Channel Partners,Carretera,February,Low,,
Germany,Channel Partners,Carretera,February,Medium,12722.4,3348
Germany,Channel Partners,Carretera,October,High,,
Germany,Channel Partners,Carretera,October,Low,9100.08,2298
Germany,Channel Partners,Carretera,October,Medium,,
Germany,Channel Partners,Carretera,September,Low,,
Germany,Channel Partners,Carretera,September,Medium,17253.6,4740
Mexico,Channel Partners,Amarilla,April,High,,
Mexico,Channel Partners,Amarilla,April,None,,
Mexico,Channel Partners,Amarilla,August,High,,
Mexico,Channel Partners,Amarilla,August,Medium,12802.2,3369
Mexico,Channel Partners,Amarilla,August,None,,
Mexico,Channel Partners,Amarilla,December,High,,
Mexico,Channel Partners,Amarilla,December,Medium,15180,4125
Mexico,Channel Partners,Amarilla,October,High,4280.4,1230
Mexico,Channel Partners,Amarilla,September,High,,
Mexico,Channel Partners,Amarilla,September,Low,,
Mexico,Channel Partners,Carretera,August,Medium,,
Mexico,Channel Partners,Carretera,December,Low,,
Mexico,Channel Partners,Carretera,February,High,,
Mexico,Channel Partners,Carretera,February,Low,,
Mexico,Channel Partners,Carretera,February,Medium,8113.32,2181
Mexico,Channel Partners,Carretera,October,High,,
Mexico,Channel Partners,Carretera,October,Low,,
Mexico,Channel Partners,Carretera,October,Medium,4007.64,1101
Mexico,Channel Partners,Carretera,September,Low,,
Mexico,Channel Partners,Carretera,September,Medium,6339.36,1686
United States of America,Channel Partners,Amarilla,April,High,,
United States of America,Channel Partners,Amarilla,April,None,23436,5859
United States of America,Channel Partners,Amarilla,August,High,,
United States of America,Channel Partners,Amarilla,August,Medium,,
United States of America,Channel Partners,Amarilla,August,None,25692,6423
United States of America,Channel Partners,Amarilla,December,High,20794.8,6045
United States of America,Channel Partners,Amarilla,December,Medium,,
United States of America,Channel Partners,Amarilla,October,High,30072.48,8742
United States of America,Channel Partners,Amarilla,September,High,,
United States of America,Channel Partners,Amarilla,September,Low,23629.32,5967
United States of America,Channel Partners,Carretera,August,Medium,,
United States of America,Channel Partners,Carretera,December,Low,,
United States of America,Channel Partners,Carretera,February,High,,
United States of America,Channel Partners,Carretera,February,Low,22073.04,5574
United States of America,Channel Partners,Carretera,February,Medium,,
United States of America,Channel Partners,Carretera,October,High,4168.8,1158
United States of America,Channel Partners,Carretera,October,Low,,
United States of America,Channel Partners,Carretera,October,Medium,,
United States of America,Channel Partners,Carretera,September,Low,22663.08,5841
United States of America,Channel Partners,Carretera,September,Medium,,
