Orders.Segment,Orders.Sub-Category,Sum(Orders.Sales)
Consumer,Accessories,87105.23800000004
Consumer,Appliances,52819.58100000005
Consumer,Art,14251.929999999997
Consumer,Binders,118161.00899999998
Consumer,Bookcases,68632.72899999998
Consumer,Chairs,172862.74199999977
Consumer,Copiers,69819.06999999999
Consumer,Envelopes,7771.146000000002
Consumer,Fasteners,1680.9419999999998
Consumer,Furnishings,49620.04599999995
Consumer,Labels,6709.2620000000015
Consumer,Machines,79542.82500000004
Consumer,Paper,36324.36799999989
Consumer,Phones,169932.764
Consumer,Storage,100492.40200000005
Consumer,Supplies,25741.496000000003
Consumer,Tables,99933.79499999998
Corporate,Accessories,48190.564
Corporate,Appliances,36588.68299999998
Corporate,Art,8590.448000000006
Corporate,Binders,51560.313000000046
Corporate,Bookcases,34005.9243
Corporate,Chairs,99140.87799999991
Corporate,Copiers,46829.385999999984
Corporate,Envelopes,5942.67
Corporate,Fasteners,783.2900000000001
Corporate,Furnishings,25001.26599999999
Corporate,Labels,4101.646000000001
Corporate,Machines,60276.754999999976
Corporate,Paper,23883.129999999972
Corporate,Phones,91153.414
Corporate,Storage,79790.99799999999
Corporate,Supplies,19435.284
Corporate,Tables,70871.7175
Home Office,Accessories,32084.515999999978
Home Office,Appliances,18123.897
Home Office,Art,4276.413999999999
Home Office,Binders,33691.41100000001
Home Office,Bookcases,12241.342999999997
Home Office,Chairs,56445.48300000002
Home Office,Copiers,32879.574
Home Office,Envelopes,2762.585999999999
Home Office,Fasteners,560.0479999999999
Home Office,Furnishings,17083.852
Home Office,Labels,1675.4039999999995
Home Office,Machines,49419.051
Home Office,Paper,18271.708000000006
Home Office,Phones,68920.87599999999
Home Office,Storage,43560.20799999998
Home Office,Supplies,1496.7580000000003
Home Office,Tables,36160.01950000001
