Opportunities.Campaign Name,Opportunities.Budget,Opportunities.Discount,Opportunities.Opportunity Owner Name,CountNonNull(Opportunities.Status)
blank-axis-row,3250,0.033,Molly Clark,49
blank-axis-row,3250,0.033,David So,39
blank-axis-row,3250,0.033,Eric Gruber,31
blank-axis-row,3250,0.033,Alicia Thomber,28
blank-axis-row,3250,0.033,Spencer Low,28
blank-axis-row,3250,0.033,Alan Steiner,13
blank-axis-row,3250,0.033,Jeff Hay,13
blank-axis-row,3250,0.033,Julian Isla,13
blank-axis-row,3250,0.033,Anne Weiler,1
blank-axis-row,3250,0.013,Molly Clark,36
blank-axis-row,3250,0.013,Eric Gruber,26
blank-axis-row,3250,0.013,Alicia Thomber,25
blank-axis-row,3250,0.013,David So,22
blank-axis-row,3250,0.013,Spencer Low,15
blank-axis-row,3250,0.013,Alan Steiner,14
blank-axis-row,3250,0.013,Julian Isla,9
blank-axis-row,3250,0.013,Jeff Hay,6
blank-axis-row,3250,0.032,Greg Winston,36
blank-axis-row,3250,0.032,Renee Lo,9
blank-axis-row,3250,0.032,Sanjay Shah,9
blank-axis-row,3250,0.032,Anne Weiler,6
blank-axis-row,3250,0.035,Anne Weiler,31
blank-axis-row,3250,0.035,Alan Steiner,15
blank-axis-row,3250,0.035,Molly Clark,6
blank-axis-row,3250,0.035,Renee Lo,2
blank-axis-row,3250,0.012,Greg Winston,27
blank-axis-row,3250,0.012,Sanjay Shah,9
blank-axis-row,3250,0.012,Renee Lo,7
blank-axis-row,3250,0.012,Anne Weiler,6
blank-axis-row,3250,0.015,Anne Weiler,18
blank-axis-row,3250,0.015,Alan Steiner,14
blank-axis-row,3250,0.015,Molly Clark,1
blank-axis-row,3250,0.015,Renee Lo,1
blank-axis-row,3250,0.038,Molly Clark,6
blank-axis-row,3250,0.038,David So,5
blank-axis-row,3250,0.038,Eric Gruber,5
blank-axis-row,3250,0.038,Alicia Thomber,3
blank-axis-row,3250,0.038,Jeff Hay,3
blank-axis-row,3250,0.038,Alan Steiner,2
blank-axis-row,3250,0.038,Julian Isla,2
blank-axis-row,3250,0.038,Spencer Low,2
blank-axis-row,3250,0.003,David So,6
blank-axis-row,3250,0.003,Alicia Thomber,5
blank-axis-row,3250,0.003,Molly Clark,5
blank-axis-row,3250,0.003,Spencer Low,4
blank-axis-row,3250,0.003,Jeff Hay,2
blank-axis-row,3250,0.003,Julian Isla,2
blank-axis-row,3250,0.003,Alan Steiner,1
blank-axis-row,3250,0.003,Eric Gruber,1
blank-axis-row,3250,0.063,Molly Clark,8
blank-axis-row,3250,0.063,Eric Gruber,5
blank-axis-row,3250,0.063,Spencer Low,4
blank-axis-row,3250,0.063,Alicia Thomber,3
blank-axis-row,3250,0.063,David So,3
blank-axis-row,3250,0.063,Julian Isla,1
blank-axis-row,3250,0.04,Anne Weiler,4
blank-axis-row,3250,0.04,Alan Steiner,2
blank-axis-row,3250,0.04,Renee Lo,2
blank-axis-row,3250,0.04,Molly Clark,1
blank-axis-row,3250,0.002,Greg Winston,4
blank-axis-row,3250,0.002,Sanjay Shah,2
blank-axis-row,3250,0.002,Renee Lo,1
blank-axis-row,3250,0.005,Alan Steiner,3
blank-axis-row,3250,0.005,Anne Weiler,2
blank-axis-row,3250,0.005,Molly Clark,1
blank-axis-row,3250,0.011,Sanjay Shah,5
blank-axis-row,3250,0.011,Anne Weiler,1
blank-axis-row,3250,0.031,Anne Weiler,5
blank-axis-row,3250,0.031,Sanjay Shah,1
blank-axis-row,3250,0.037,Renee Lo,2
blank-axis-row,3250,0.037,Anne Weiler,1
blank-axis-row,3250,0.037,Greg Winston,1
blank-axis-row,3250,0.037,Sanjay Shah,1
blank-axis-row,3250,0.062,Greg Winston,3
blank-axis-row,3250,0.062,Sanjay Shah,2
blank-axis-row,3250,0.065,Alan Steiner,2
blank-axis-row,3250,0.065,Anne Weiler,2
blank-axis-row,3250,0.036,Anne Weiler,2
blank-axis-row,3250,0.061,Anne Weiler,1
blank-axis-row,3500,0.033,David So,46
blank-axis-row,3500,0.033,Molly Clark,46
blank-axis-row,3500,0.033,Alicia Thomber,30
blank-axis-row,3500,0.033,Alan Steiner,22
blank-axis-row,3500,0.033,Eric Gruber,22
blank-axis-row,3500,0.033,Jeff Hay,18
blank-axis-row,3500,0.033,Spencer Low,17
blank-axis-row,3500,0.033,Julian Isla,12
blank-axis-row,3500,0.033,Anne Weiler,1
blank-axis-row,3500,0.013,Molly Clark,31
blank-axis-row,3500,0.013,Alicia Thomber,24
blank-axis-row,3500,0.013,Eric Gruber,22
blank-axis-row,3500,0.013,David So,21
blank-axis-row,3500,0.013,Julian Isla,18
blank-axis-row,3500,0.013,Alan Steiner,9
blank-axis-row,3500,0.013,Spencer Low,7
blank-axis-row,3500,0.013,Jeff Hay,4
blank-axis-row,3500,0.032,Greg Winston,48
blank-axis-row,3500,0.032,Renee Lo,12
blank-axis-row,3500,0.032,Anne Weiler,9
blank-axis-row,3500,0.032,Sanjay Shah,5
blank-axis-row,3500,0.035,Anne Weiler,31
blank-axis-row,3500,0.035,Alan Steiner,14
blank-axis-row,3500,0.035,Molly Clark,3
blank-axis-row,3500,0.035,Renee Lo,2
blank-axis-row,3500,0.015,Anne Weiler,22
blank-axis-row,3500,0.015,Alan Steiner,13
blank-axis-row,3500,0.015,Molly Clark,4
blank-axis-row,3500,0.015,Renee Lo,2
blank-axis-row,3500,0.012,Greg Winston,25
blank-axis-row,3500,0.012,Anne Weiler,5
blank-axis-row,3500,0.012,Sanjay Shah,5
blank-axis-row,3500,0.012,Renee Lo,4
blank-axis-row,3500,0.038,David So,6
blank-axis-row,3500,0.038,Alicia Thomber,4
blank-axis-row,3500,0.038,Molly Clark,4
blank-axis-row,3500,0.038,Alan Steiner,3
blank-axis-row,3500,0.038,Eric Gruber,3
blank-axis-row,3500,0.038,Jeff Hay,3
blank-axis-row,3500,0.038,Spencer Low,3
blank-axis-row,3500,0.038,Julian Isla,1
blank-axis-row,3500,0.063,David So,6
blank-axis-row,3500,0.063,Alan Steiner,4
blank-axis-row,3500,0.063,Molly Clark,4
blank-axis-row,3500,0.063,Alicia Thomber,3
blank-axis-row,3500,0.063,Eric Gruber,3
blank-axis-row,3500,0.063,Jeff Hay,3
blank-axis-row,3500,0.063,Julian Isla,1
blank-axis-row,3500,0.063,Spencer Low,1
blank-axis-row,3500,0.003,Molly Clark,7
blank-axis-row,3500,0.003,Alan Steiner,3
blank-axis-row,3500,0.003,David So,3
blank-axis-row,3500,0.003,Alicia Thomber,1
blank-axis-row,3500,0.003,Jeff Hay,1
blank-axis-row,3500,0.031,Sanjay Shah,7
blank-axis-row,3500,0.031,Anne Weiler,3
blank-axis-row,3500,0.002,Greg Winston,4
blank-axis-row,3500,0.002,Renee Lo,3
blank-axis-row,3500,0.002,Sanjay Shah,1
blank-axis-row,3500,0.037,Greg Winston,5
blank-axis-row,3500,0.037,Anne Weiler,1
blank-axis-row,3500,0.037,Sanjay Shah,1
blank-axis-row,3500,0.011,Anne Weiler,4
blank-axis-row,3500,0.011,Sanjay Shah,2
blank-axis-row,3500,0.04,Anne Weiler,4
blank-axis-row,3500,0.04,Alan Steiner,2
blank-axis-row,3500,0.062,Greg Winston,4
blank-axis-row,3500,0.065,Anne Weiler,2
blank-axis-row,3500,0.065,Alan Steiner,1
blank-axis-row,3500,0.065,Renee Lo,1
blank-axis-row,3500,0.005,Alan Steiner,2
blank-axis-row,3500,0.005,Anne Weiler,1
blank-axis-row,3500,0.036,Anne Weiler,1
blank-axis-row,3500,0.036,Sanjay Shah,1
blank-axis-row,3500,0.061,Sanjay Shah,2
blank-axis-row,3500,0.001,Sanjay Shah,1
blank-axis-row,3125,0.033,David So,47
blank-axis-row,3125,0.033,Molly Clark,47
blank-axis-row,3125,0.033,Alicia Thomber,41
blank-axis-row,3125,0.033,Eric Gruber,26
blank-axis-row,3125,0.033,Spencer Low,23
blank-axis-row,3125,0.033,Alan Steiner,18
blank-axis-row,3125,0.033,Julian Isla,16
blank-axis-row,3125,0.033,Jeff Hay,13
blank-axis-row,3125,0.013,Molly Clark,35
blank-axis-row,3125,0.013,David So,33
blank-axis-row,3125,0.013,Alicia Thomber,24
blank-axis-row,3125,0.013,Eric Gruber,16
blank-axis-row,3125,0.013,Spencer Low,13
blank-axis-row,3125,0.013,Julian Isla,11
blank-axis-row,3125,0.013,Alan Steiner,6
blank-axis-row,3125,0.013,Jeff Hay,4
blank-axis-row,3125,0.013,Anne Weiler,1
blank-axis-row,3125,0.032,Greg Winston,33
blank-axis-row,3125,0.032,Sanjay Shah,9
blank-axis-row,3125,0.032,Anne Weiler,8
blank-axis-row,3125,0.032,Renee Lo,3
blank-axis-row,3125,0.035,Anne Weiler,26
blank-axis-row,3125,0.035,Alan Steiner,14
blank-axis-row,3125,0.035,Renee Lo,7
blank-axis-row,3125,0.035,Molly Clark,2
blank-axis-row,3125,0.012,Greg Winston,26
blank-axis-row,3125,0.012,Sanjay Shah,9
blank-axis-row,3125,0.012,Anne Weiler,4
blank-axis-row,3125,0.012,Renee Lo,1
blank-axis-row,3125,0.038,Alicia Thomber,9
blank-axis-row,3125,0.038,David So,9
blank-axis-row,3125,0.038,Molly Clark,6
blank-axis-row,3125,0.038,Eric Gruber,4
blank-axis-row,3125,0.038,Spencer Low,2
blank-axis-row,3125,0.038,Alan Steiner,1
blank-axis-row,3125,0.038,Julian Isla,1
blank-axis-row,3125,0.015,Anne Weiler,16
blank-axis-row,3125,0.015,Alan Steiner,5
blank-axis-row,3125,0.015,Renee Lo,3
blank-axis-row,3125,0.015,Molly Clark,2
blank-axis-row,3125,0.003,David So,7
blank-axis-row,3125,0.003,Julian Isla,3
blank-axis-row,3125,0.003,Molly Clark,3
blank-axis-row,3125,0.003,Alicia Thomber,2
blank-axis-row,3125,0.003,Eric Gruber,2
blank-axis-row,3125,0.003,Spencer Low,2
blank-axis-row,3125,0.003,Alan Steiner,1
blank-axis-row,3125,0.063,David So,5
blank-axis-row,3125,0.063,Molly Clark,4
blank-axis-row,3125,0.063,Alicia Thomber,3
blank-axis-row,3125,0.063,Eric Gruber,2
blank-axis-row,3125,0.063,Julian Isla,2
blank-axis-row,3125,0.063,Alan Steiner,1
blank-axis-row,3125,0.063,Jeff Hay,1
blank-axis-row,3125,0.063,Spencer Low,1
blank-axis-row,3125,0.002,Greg Winston,5
blank-axis-row,3125,0.002,Sanjay Shah,4
blank-axis-row,3125,0.002,Renee Lo,1
blank-axis-row,3125,0.065,Anne Weiler,8
blank-axis-row,3125,0.065,Alan Steiner,1
blank-axis-row,3125,0.062,Greg Winston,7
blank-axis-row,3125,0.062,Anne Weiler,1
blank-axis-row,3125,0.04,Anne Weiler,5
blank-axis-row,3125,0.04,Alan Steiner,1
blank-axis-row,3125,0.04,Molly Clark,1
blank-axis-row,3125,0.031,Anne Weiler,3
blank-axis-row,3125,0.031,Sanjay Shah,3
blank-axis-row,3125,0.037,Greg Winston,4
blank-axis-row,3125,0.037,Anne Weiler,1
blank-axis-row,3125,0.037,Renee Lo,1
blank-axis-row,3125,0.005,Anne Weiler,4
blank-axis-row,3125,0.011,Sanjay Shah,2
blank-axis-row,3125,0.011,Anne Weiler,1
blank-axis-row,3125,0.001,Anne Weiler,1
blank-axis-row,3125,0.001,Sanjay Shah,1
blank-axis-row,3125,0.036,Sanjay Shah,1
blank-axis-row,3375,0.033,Molly Clark,39
blank-axis-row,3375,0.033,Eric Gruber,35
blank-axis-row,3375,0.033,David So,33
blank-axis-row,3375,0.033,Alicia Thomber,20
blank-axis-row,3375,0.033,Spencer Low,20
blank-axis-row,3375,0.033,Julian Isla,17
blank-axis-row,3375,0.033,Jeff Hay,16
