Financials.Country,Financials.Discount Band,Sum(Financials.Sales),Sum(Financials.COGS),Sum(Financials.Gross Sales)
Canada,High,8657237.66,7745977,9890655
Canada,Low,6537899.37,5397319,6697135
Canada,Medium,7865428.355,6771648,8517284
Canada,None,1827089.5,1443483,1827090
France,High,5865834.735,5329852,6703921
France,Low,5913163.185,4851387,6068297
France,Medium,10057889.36,8438633,10792172
France,None,2517285,1953280,2517285
Germany,High,4878794.36,4453837,5564373
Germany,Low,10316608.08,8469253,10604809
Germany,Medium,5824029.88,5000934,6266377
Germany,None,2485908.5,1900928,2485909
Mexico,High,6829693.69,6179355,7847292
Mexico,Low,5588703.93,4596562,5713007
Mexico,Medium,7864732.49,6733672,8500414
Mexico,None,666222,532240,666222
United States of America,High,11140926.28,10274599,12683272
United States of America,Low,6273404.135,5126399,6432207
United States of America,Medium,7168350.75,6256022,7706731
United States of America,None,447149,377268,447149
