Orders.Category,Orders.Sub-Category,Orders.Region,Orders.Segment,Orders.Ship Mode,Measure.Cost LM,Measure.Gross Profit,Measure.PCT Profit return
Furniture,Bookcases,Central,Consumer,First Class,7850.992000000001,-692686.346,1
Furniture,Bookcases,Central,Consumer,Same Day,,,
Furniture,Bookcases,Central,Consumer,Second Class,13818.1892,-688026.4088,1
Furniture,Bookcases,Central,Consumer,Standard Class,22866.950600000007,-677958.6751999999,0.972379414803738
Furniture,Bookcases,Central,Corporate,First Class,7099.138800000001,-693329.4052,1
Furniture,Bookcases,Central,Corporate,Same Day,,,
Furniture,Bookcases,Central,Corporate,Second Class,6117.2158,-694216.4424,1
Furniture,Bookcases,Central,Corporate,Standard Class,16471.0669,-683640.1868,0.7582175771928519
Furniture,Bookcases,Central,Home Office,First Class,2921.4809999999998,-697336.7536,1
Furniture,Bookcases,Central,Home Office,Same Day,,,
Furniture,Bookcases,Central,Home Office,Second Class,2325.0444,-697455.32,1
Furniture,Bookcases,Central,Home Office,Standard Class,1517.5857999999998,-698015.7288,1
Furniture,Chairs,Central,Consumer,First Class,13808.714300000005,-684533.085,1
Furniture,Chairs,Central,Consumer,Same Day,15811.087,-682483.058,1.772457330708005
Furniture,Chairs,Central,Consumer,Second Class,13865.693599999999,-686465.087,1
Furniture,Chairs,Central,Consumer,Standard Class,68526.42439999996,-627278.909,1
Furniture,Chairs,Central,Corporate,First Class,9304.790799999999,-691070.982,1
Furniture,Chairs,Central,Corporate,Same Day,,,
Furniture,Chairs,Central,Corporate,Second Class,21902.900100000003,-673176.755,1
Furniture,Chairs,Central,Corporate,Standard Class,49676.630099999995,-644827.417,1
Furniture,Chairs,Central,Home Office,First Class,4532.602399999999,-695322.212,1
Furniture,Chairs,Central,Home Office,Same Day,3491.4084000000003,-696666.58,1
Furniture,Chairs,Central,Home Office,Second Class,11424.148200000001,-689238.654,1
Furniture,Chairs,Central,Home Office,Standard Class,16049.236000000004,-682183.436,1
Furniture,Furnishings,Central,Consumer,First Class,6653.025900000001,-693193.44,1
Furniture,Furnishings,Central,Consumer,Same Day,7177.474700000001,-693881.536,1
Furniture,Furnishings,Central,Consumer,Second Class,13089.230699999996,-688051.642,1.0035964573435756
Furniture,Furnishings,Central,Consumer,Standard Class,34205.71739999999,-667178.994,0.7889295137610209
Furniture,Furnishings,Central,Corporate,First Class,5064.5066000000015,-695455.444,1.1110417028079205
Furniture,Furnishings,Central,Corporate,Same Day,373.25379999999996,-699618.54,0
Furniture,Furnishings,Central,Corporate,Second Class,7460.1669,-693998.836,1
Furniture,Furnishings,Central,Corporate,Standard Class,20267.665299999993,-680916.9400000001,1.0048691237726224
Furniture,Furnishings,Central,Home Office,First Class,1736.4264,-698468.44,1
Furniture,Furnishings,Central,Home Office,Same Day,348.7456,-699630.24,1
Furniture,Furnishings,Central,Home Office,Second Class,7565.5746,-693532.704,1
Furniture,Furnishings,Central,Home Office,Standard Class,16362.021899999996,-685769.894,1.044448751472795
Furniture,Tables,Central,Consumer,First Class,5618.353899999999,-694709.343,1
Furniture,Tables,Central,Consumer,Same Day,2648.0217999999995,-697392.042,1
Furniture,Tables,Central,Consumer,Second Class,13563.958800000002,-689546.745,1
Furniture,Tables,Central,Consumer,Standard Class,49066.33270000001,-656496.091,0.9884979635765611
Furniture,Tables,Central,Corporate,First Class,4752.884299999999,-695492.357,1
Furniture,Tables,Central,Corporate,Same Day,,,
Furniture,Tables,Central,Corporate,Second Class,,,
Furniture,Tables,Central,Corporate,Standard Class,31000.161000000004,-665990.422,1
Furniture,Tables,Central,Home Office,First Class,4665.998400000001,-696421.007,1
Furniture,Tables,Central,Home Office,Same Day,997.6107999999999,-698813.67,1
Furniture,Tables,Central,Home Office,Second Class,1813.3156,-697891.68,1
Furniture,Tables,Central,Home Office,Standard Class,12300.784999999996,-687770.946,1
Office Supplies,Appliances,Central,Consumer,First Class,2617.3426999999997,-697451.234,1
Office Supplies,Appliances,Central,Consumer,Same Day,2103.1504000000004,-697879.744,1
Office Supplies,Appliances,Central,Consumer,Second Class,11323.861699999998,-693463.35,1
Office Supplies,Appliances,Central,Consumer,Standard Class,38057.82939999999,-664490.843,1
Office Supplies,Appliances,Central,Corporate,First Class,3842.5929999999994,-696712.762,1
Office Supplies,Appliances,Central,Corporate,Same Day,341.1344,-699565.284,0
Office Supplies,Appliances,Central,Corporate,Second Class,7909.8092000000015,-689986.862,1
Office Supplies,Appliances,Central,Corporate,Standard Class,16208.0124,-686346.014,0.9020567680897895
Office Supplies,Appliances,Central,Home Office,First Class,722.472,-699194.536,1
Office Supplies,Appliances,Central,Home Office,Same Day,1037.1779999999999,-699346.06,1
Office Supplies,Appliances,Central,Home Office,Second Class,11270.891400000002,-685403.836,1
Office Supplies,Appliances,Central,Home Office,Standard Class,11232.7386,-688034.295,1
Office Supplies,Art,Central,Consumer,First Class,5258.830099999997,-694568.512,1
Office Supplies,Art,Central,Consumer,Same Day,1856.4482,-698058.12,1
Office Supplies,Art,Central,Consumer,Second Class,8223.703500000001,-691459.182,1
Office Supplies,Art,Central,Consumer,Standard Class,25026.09010000001,-673940.112,0.9195538116103416
Office Supplies,Art,Central,Corporate,First Class,2861.6827,-697063.2,1
Office Supplies,Art,Central,Corporate,Same Day,,,
Office Supplies,Art,Central,Corporate,Second Class,3915.137799999999,-695859.808,1
Office Supplies,Art,Central,Corporate,Standard Class,11611.052699999993,-687872.334,0.9468987538956515
Office Supplies,Art,Central,Home Office,First Class,2337.0103000000004,-697453.416,1
Office Supplies,Art,Central,Home Office,Same Day,1312.7127999999998,-698667.784,1
Office Supplies,Art,Central,Home Office,Second Class,3366.5634,-696426.468,0.7120058509977545
Office Supplies,Art,Central,Home Office,Standard Class,8453.6566,-691228.112,1
Office Supplies,Binders,Central,Consumer,First Class,25253.42139999998,-679836.366,1
Office Supplies,Binders,Central,Consumer,Same Day,3597.613300000001,-696039.86,0.877224115992357
Office Supplies,Binders,Central,Consumer,Second Class,21111.93870000001,-672342.958,1
Office Supplies,Binders,Central,Consumer,Standard Class,95201.51850000014,-598670.6479999998,1.0724733640213007
Office Supplies,Binders,Central,Corporate,First Class,11760.154600000002,-690771.996,0.9702207285775183
Office Supplies,Binders,Central,Corporate,Same Day,2143.1972,-698138.224,1
Office Supplies,Binders,Central,Corporate,Second Class,7434.051299999998,-692702.328,1
Office Supplies,Binders,Central,Corporate,Standard Class,54311.04910000005,-654905.808,0.9843025015544615
Office Supplies,Binders,Central,Home Office,First Class,6563.768000000002,-689516.948,1
Office Supplies,Binders,Central,Home Office,Same Day,3095.2236000000003,-696912.772,6.825078793336296
Office Supplies,Binders,Central,Home Office,Second Class,3623.5352000000007,-696258.428,1
Office Supplies,Binders,Central,Home Office,Standard Class,26326.246200000016,-674847.774,1.0840486390268242
Office Supplies,Envelopes,Central,Consumer,First Class,749.8932,-698800.42,1
Office Supplies,Envelopes,Central,Consumer,Same Day,539.9978000000001,-699401.744,1
Office Supplies,Envelopes,Central,Consumer,Second Class,2492.6017999999995,-697212.024,1
Office Supplies,Envelopes,Central,Consumer,Standard Class,9552.559000000003,-689215.704,1
Office Supplies,Envelopes,Central,Corporate,First Class,163.3994,-699809.648,1
Office Supplies,Envelopes,Central,Corporate,Same Day,,,
Office Supplies,Envelopes,Central,Corporate,Second Class,1434.1228999999998,-698118.536,1
Office Supplies,Envelopes,Central,Corporate,Standard Class,4598.756300000001,-694742.5,1
Office Supplies,Envelopes,Central,Home Office,First Class,1471.6669000000002,-698284.896,1
Office Supplies,Envelopes,Central,Home Office,Same Day,,,
Office Supplies,Envelopes,Central,Home Office,Second Class,607.1496,-699374.88,1
Office Supplies,Envelopes,Central,Home Office,Standard Class,3315.5975999999996,-696152.262,1
Office Supplies,Fasteners,Central,Consumer,First Class,941.9285,-699045.22,1
Office Supplies,Fasteners,Central,Consumer,Same Day,1315.5671999999997,-698665.126,1
Office Supplies,Fasteners,Central,Consumer,Second Class,1890.6107000000002,-698051.906,1
Office Supplies,Fasteners,Central,Consumer,Standard Class,6735.104800000003,-692953.038,1
Office Supplies,Fasteners,Central,Corporate,First Class,648.266,-699305.24,1
Office Supplies,Fasteners,Central,Corporate,Same Day,,,
Office Supplies,Fasteners,Central,Corporate,Second Class,1899.7121,-698050.192,1
Office Supplies,Fasteners,Central,Corporate,Standard Class,3587.7906000000007,-696289.918,1
Office Supplies,Fasteners,Central,Home Office,First Class,,,
Office Supplies,Fasteners,Central,Home Office,Same Day,,,
Office Supplies,Fasteners,Central,Home Office,Second Class,384.8,-699604,1
Office Supplies,Fasteners,Central,Home Office,Standard Class,2145.6778,-697782.512,1
Office Supplies,Labels,Central,Consumer,First Class,1267.7607,-698699.278,1
Office Supplies,Labels,Central,Consumer,Same Day,1307.0454,-698644.3,1
Office Supplies,Labels,Central,Consumer,Second Class,1057.9656,-698889.91,1
Office Supplies,Labels,Central,Consumer,Standard Class,8924.306600000002,-690407.494,1
Office Supplies,Labels,Central,Corporate,First Class,1057.8491999999999,-698871.784,0.24282474121318567
Office Supplies,Labels,Central,Corporate,Same Day,552.7342,-699436.86,0
Office Supplies,Labels,Central,Corporate,Second Class,2365.1945,-697299.122,1
Office Supplies,Labels,Central,Corporate,Standard Class,4666.4502,-695017.364,0.888815140784279
Office Supplies,Labels,Central,Home Office,First Class,774.8112,-699148.24,1
Office Supplies,Labels,Central,Home Office,Same Day,,,
Office Supplies,Labels,Central,Home Office,Second Class,1171.5341999999998,-698778.024,1
Office Supplies,Labels,Central,Home Office,Standard Class,5589.501699999999,-693939.66,1
Office Supplies,Paper,Central,Consumer,First Class,8418.5458,-690311.836,1
Office Supplies,Paper,Central,Consumer,Same Day,4552.675,-694951.888,1
Office Supplies,Paper,Central,Consumer,Second Class,12469.109999999997,-686240.55,1
Office Supplies,Paper,Central,Consumer,Standard Class,35061.08999999999,-660852.876,1
Office Supplies,Paper,Central,Corporate,First Class,7501.7134,-691875.712,0.938137175114317
