Sheet1.Order ID,Sheet1.Ship Mode,Sheet1.Sum of Sale 3
blank-axis-row,Government,
blank-axis-row,Second Class,-76
blank-axis-row,Standard Class,
CA-2014-115812,Government,
CA-2014-115812,Second Class,
CA-2014-115812,Standard Class,-353
CA-2014-143336,Government,0
CA-2014-143336,Second Class,0
CA-2014-143336,Standard Class,
CA-2014-167164,Government,-74
CA-2014-167164,Second Class,
CA-2014-167164,Standard Class,
CA-2016-138688,Government,
CA-2016-138688,Second Class,-45
CA-2016-138688,Standard Class,
CA-2016-161389,Government,
CA-2016-161389,Second Class,
CA-2016-161389,Standard Class,-84
Null,Government,
Null,Second Class,
Null,Standard Class,-34
US-2015-108966,Government,
US-2015-108966,Second Class,
US-2015-108966,Standard Class,-145
